,file_name,to_rmw_flavor,to_rmw,from_rmw_flavor,from_rmw,mean system virtual memory (Mb),mean system_cpu_usage (%),sum lost,mean sent,mean received,max ru_maxrss,Top 5% latency (ms),median latency_mean (ms),mean latency_mean (ms),resident anonymous memory (Mb),median resident anonymous memory (Mb),mean resident anonymous memory (Mb),physical memory (Mb),median physical memory (Mb),mean physical memory (Mb),cpu_usage (%),median cpu_usage (%),mean cpu_usage (%),virtual memory (Mb),median virtual memory (Mb),mean virtual memory (Mb)
0,./data/overhead_test_results_rmw_connext_cpp_async_rmw_fastrtps_cpp_ROS2_sub.csv,cpp,fastrtps,cpp async,connext,1564.6349999999993,29.35664333333333,0.0,0.0,4.52,90040.0,0.0,0.0,0.0,9.80176,9.80176,9.549806666666663,39.207,39.207,38.199188666666686,27.073275,26.85455,25.668275999999995,162.852,162.852,157.70654266666662
0,./data/overhead_test_results_rmw_cyclonedds_cpp_sync_rmw_cyclonedds_cpp_ROS2_sub.csv,cpp,cyclonedds,cpp sync,cyclonedds,1531.771935483871,29.680961290322582,0.0,0.0,4.48,87732.0,0.0,0.0,0.0,6.7988300000000015,6.7988300000000015,6.5764567741935505,27.1953,27.1953,26.31412806451612,27.1666,26.8561,25.64619870967741,150.827,150.576,146.01681548387097
0,./data/overhead_test_results_rmw_fastrtps_cpp_sync_rmw_fastrtps_cpp_ROS2_sub.csv,cpp,fastrtps,cpp sync,fastrtps,1552.8877419354833,29.0945129032258,0.0,0.0,4.48,91772.0,0.0,0.0,0.0,9.73242,9.73242,9.45463516129032,38.9297,38.9297,37.818560645161284,27.1874,27.0602,25.77835706451613,146.827,146.827,142.36464967741938
0,./data/overhead_test_results_rmw_fastrtps_dynamic_cpp_sync_rmw_fastrtps_dynamic_cpp_ROS2_sub.csv,dynamic cpp,fastrtps,dynamic cpp sync,fastrtps,1505.3456666666668,29.33259666666667,0.0,0.0,4.5,91612.0,0.0,0.0,0.0,9.90332,9.90332,9.670702666666667,39.6133,39.6133,38.68283,27.046910000000004,26.62155,24.95208763333334,146.877,146.877,142.26404266666668
0,./data/overhead_test_results_rmw_fastrtps_cpp_sync_rmw_fastrtps_dynamic_cpp_ROS2_sub.csv,dynamic cpp,fastrtps,cpp sync,fastrtps,1553.772333333333,29.630393333333334,0.0,0.0,4.52,91776.0,0.0,0.0,0.0,9.83789,9.83789,9.560611333333334,39.3516,39.3516,38.24248399999999,26.77754,26.27845,24.747906066666665,146.879,146.879,142.26617133333332
0,./data/overhead_test_results_rmw_fastrtps_cpp_async_rmw_fastrtps_dynamic_cpp_ROS2_sub.csv,dynamic cpp,fastrtps,cpp async,fastrtps,1554.5738709677414,29.27831612903225,0.0,0.0,4.52,91780.0,0.0,0.0,0.0,9.81641,9.81641,9.661514516129037,39.2656,39.2656,38.64601935483871,26.695999999999998,25.8212,24.14867348387097,162.859,162.859,157.8858832258065
0,./data/overhead_test_results_rmw_cyclonedds_cpp_sync_rmw_fastrtps_cpp_ROS2_sub.csv,cpp,fastrtps,cpp sync,cyclonedds,1540.6725806451611,28.993519354838714,0.0,0.0,4.48,87328.0,0.0,0.0,0.0,9.70312,9.70312,9.438881290322584,38.8125,38.8125,37.75554451612903,26.96265,26.4479,24.903577354838706,162.849,162.849,157.86996838709678
0,./data/overhead_test_results_rmw_connext_cpp_async_rmw_connext_cpp_ROS2_sub.csv,cpp,connext,cpp async,connext,1578.4433333333332,29.42943333333333,0.0,0.0,4.458333333333333,89840.0,0.0,0.0,0.0,17.0381,16.9736,16.51491944444444,68.1523,67.8945,66.05964944444443,26.8413,26.3863,24.723587722222227,607.067,607.067,583.2991116666667
0,./data/overhead_test_results_rmw_fastrtps_dynamic_cpp_async_rmw_cyclonedds_cpp_ROS2_sub.csv,cpp,cyclonedds,dynamic cpp async,fastrtps,1496.376451612903,29.21680000000001,0.0,0.0,4.52,91980.0,0.0,0.0,0.0,6.4335900000000015,6.4335900000000015,6.34793612903226,25.7344,25.7344,25.391783870967757,26.91955,26.379,24.91235806451613,150.826,150.826,146.23446064516128
0,./data/overhead_test_results_rmw_fastrtps_dynamic_cpp_async_rmw_connext_cpp_ROS2_sub.csv,cpp,connext,dynamic cpp async,fastrtps,1514.8591891891892,29.007075,0.0,0.0,4.416666666666667,91848.0,0.0,0.0,0.0,16.67326,16.2363,15.999738108108113,66.69300000000001,64.9453,63.99904324324324,27.96692,27.6555,26.715243243243247,604.936,604.936,580.7474135135136
