,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
0,open,2020-10-16 13:37:45,,,4,621,Adding the Cyclone Roadmap ,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/621,
1,closed,2020-10-15 11:58:50,,75993.0,1,620,Fix detection of reopened modules,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/620,2020-10-16 09:05:23
2,closed,2020-10-13 13:28:45,,165706.0,2,618,Idl const fixes,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/618,2020-10-15 11:30:31
3,open,2020-10-08 08:30:57,,,2,616,Remove thread pool implementation,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/616,
4,open,2020-10-07 15:13:07,,,33,615,Topic Discovery,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/615,
5,closed,2020-10-07 09:11:49,,8846.0,3,614,IDLC fixes,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/614,2020-10-07 11:39:15
6,closed,2020-10-06 09:53:45,,76468.0,2,613,CentOS 7 support,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/613,2020-10-07 07:08:13
7,closed,2020-10-02 15:37:33,,418088.0,1,611,Added the ability to use idl_identifier() function to obtain the identifier of a const.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/611,2020-10-07 11:45:41
8,open,2020-10-02 13:44:41,,,1,610,Check return of dds_register_instance calls,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/610,
9,closed,2020-10-02 12:52:43,,433390.0,1,609,Undo bitrot in perfscript scripts,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/609,2020-10-07 13:15:53
10,closed,2020-09-28 14:37:33,,75947.0,5,607,Minor fixes,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/607,2020-09-29 11:43:20
11,closed,2020-09-28 13:20:57,,105123.0,1,606,Extend content filters to metadata,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/606,2020-09-29 18:33:00
12,open,2020-09-27 17:08:28,,,1,605,Update shared_memory.rst,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/605,
13,closed,2020-09-25 16:05:29,,331477.0,28,604,Set config programmatically,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/604,2020-09-29 12:10:06
14,closed,2020-09-23 14:08:47,,,1,603,"Added typedef for ""struct ser_data"" in order to disambiguate an issue in the idlcxx repo that chokes the Windows compiler.",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/603,
15,open,2020-09-23 12:08:52,,,1,602,Perform writecdr test over network,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/602,
16,closed,2020-09-18 14:13:46,,346482.0,7,601,Fix issue with identifiers introduced through use multiple and restore pragma directives,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/601,2020-09-22 14:28:28
17,closed,2020-09-18 00:26:51,,915237.0,6,600,Add FreeBSD target,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/600,2020-09-28 14:40:48
18,closed,2020-09-18 00:20:57,,28975.0,1,599,Switch to Xcode 11.5,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/599,2020-09-18 08:23:52
19,closed,2020-09-17 15:49:30,,18258.0,1,598,Fixed issue where parser chocked on boolean constant literals.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/598,2020-09-17 20:53:48
20,closed,2020-09-16 14:42:57,,78328.0,11,597,Iceoryx,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/597,2020-09-17 12:28:25
21,closed,2020-09-16 13:21:24,,17893.0,2,596,Fix some minor bugs,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/596,2020-09-16 18:19:37
22,closed,2020-09-15 14:24:52,,78257.0,2,595,Use specialized constructors and add scoping,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/595,2020-09-16 12:09:09
23,closed,2020-09-10 12:23:13,,507133.0,1,594,Allow fancy quotes in attribute values in config,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/594,2020-09-16 09:15:26
24,closed,2020-09-10 12:22:42,,27157.0,2,593,Fixed issue with @key annotations,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/593,2020-09-10 19:55:19
25,closed,2020-09-07 14:47:27,,66079.0,2,592,Fix false positive from gcc7.5 not raised by gcc10,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/592,2020-09-08 09:08:46
26,closed,2020-09-05 15:26:18,,104233.0,11,591,Bits and pieces for IDL compiler,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/591,2020-09-06 20:23:31
27,closed,2020-09-03 12:58:36,,71441.0,1,590,Add IDL_RETCODE_CANNOT_OPEN_FILE,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/590,2020-09-04 08:49:17
28,closed,2020-09-03 11:40:30,,268881.0,1,589,Test writecdr/takecdr with custom topic implementation,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/589,2020-09-06 14:21:51
29,closed,2020-09-02 21:20:41,,43818.0,1,588,Fix memory leaks with inherited structs,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/588,2020-09-03 09:30:59
30,closed,2020-09-02 20:51:13,,41664.0,1,587,Update change log with 0.7.0 release,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/587,2020-09-03 08:25:37
31,open,2020-09-02 16:48:15,,,1,586,added OMG DDS C++ API mention to README,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/586,
32,closed,2020-09-02 09:40:34,,24683.0,6,585,Add boilerplate for IDL compiler,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/585,2020-09-02 16:31:57
33,open,2020-08-27 12:32:51,,,1,583,Write thoughput data of ddsperf to csv file specified on command line via -f option,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/583,
34,open,2020-08-24 13:55:59,,,4,582,For the security_timed_dispatcher use the xevent queue to schedule timer events.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/582,
35,closed,2020-08-23 12:03:36,,6216.0,2,581,Avoid caching of Codecov badge and ignore tests in report,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/581,2020-08-23 13:47:12
36,closed,2020-08-20 13:27:01,,1375.0,1,580,Fix Codecov submission in .travis.yml,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/580,2020-08-20 13:49:56
37,closed,2020-08-20 09:56:04,,9011.0,5,579,Add support for Codecov,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/579,2020-08-20 12:26:15
38,closed,2020-08-19 07:31:38,,92367.0,2,578,Correct path in cryptographic plugin,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/578,2020-08-20 09:11:05
39,closed,2020-08-14 14:46:35,,344367.0,1,577,Add Travis and Coverity badges to the Readme,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/577,2020-08-18 14:26:02
40,closed,2020-08-11 13:57:05,,761423.0,1,576,Update change log with 0.7.0 release,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/576,2020-08-20 09:27:28
41,closed,2020-08-11 10:41:08,,3675.0,1,574,Use older gcc version for coverity,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/574,2020-08-11 11:42:23
42,open,2020-08-06 07:28:45,,,3,571,Fix for locater test and Coverity issues,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/571,
43,closed,2020-07-30 13:18:22,,356464.0,2,570,Delayed spring cleaning,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/570,2020-08-03 16:19:26
44,closed,2020-07-27 10:43:41,,16601.0,2,568,Fix ddsperf RSS check and tweak sanity check script,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/568,2020-07-27 15:20:22
45,closed,2020-07-27 08:31:46,,10954.0,2,567,"Use-after-free in ""security FSM"" and test failures",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/567,2020-07-27 11:34:20
46,closed,2020-07-26 11:36:37,,180206.0,1,566,Make set_sndbuf to be consistence with set_rcvbuf,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/566,2020-07-28 13:40:03
47,closed,2020-07-24 13:29:46,,252310.0,2,565,"Updates to ""oneliner"" tests",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/565,2020-07-27 11:34:56
48,closed,2020-07-24 11:26:26,,259606.0,2,564,Minor improvements to content filter interface,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/564,2020-07-27 11:33:12
49,closed,2020-07-23 13:31:28,,338522.0,1,563,Invoke listeners with a copy of the status,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/563,2020-07-27 11:33:30
50,closed,2020-07-16 12:42:13,,9161.0,1,562,Fix flakey permissions expiry test,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/562,2020-07-16 15:14:54
51,closed,2020-07-16 12:27:26,,10061.0,2,561,Fix some benign compiler warnings in test code,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/561,2020-07-16 15:15:07
52,open,2020-07-03 08:25:51,,,27,559,XTypes type discovery protocol,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/559,
53,closed,2020-07-02 09:57:43,,344594.0,20,558,Less aggressive retransmit,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/558,2020-07-06 09:40:57
54,open,2020-06-29 11:13:42,,,53,557,Replacement for os_sockWaitSet,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/557,
55,closed,2020-06-26 13:54:09,,3347532.0,1,556,Replace flex by handcrafted scanner,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/556,2020-08-04 07:46:21
56,closed,2020-06-26 13:23:49,,,3,555,Fix long latency for large messages,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/555,
57,closed,2020-06-26 07:47:27,,12174.0,3,554,Fix xsd generation in ddsconf,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/554,2020-06-26 11:10:21
58,closed,2020-06-26 07:03:25,,619103.0,9,553,"Fix IPv6 link-local, ""raw"" Ethernet + some fallout",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/553,2020-07-03 11:01:48
59,closed,2020-06-25 13:24:52,,73385.0,2,552,Deal with OpenSSL in a DLL on Windows,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/552,2020-06-26 09:47:57
60,closed,2020-06-19 09:38:08,,5634.0,2,551," Modified flags in typetree to include unsupported types, and to use separate flags to indicate signedness and wideness.",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/551,2020-06-19 11:12:02
61,closed,2020-06-19 08:51:32,,8979.0,1,550,Enable CXX for CMake versions less than 3.12,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/550,2020-06-19 11:21:11
62,closed,2020-06-18 10:53:46,,,6,549,Created network event monitor to replace os_sockWaitset.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/549,
63,closed,2020-06-17 21:40:18,,47719.0,1,548,move options above where they're used to generate features.h header,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/548,2020-06-18 10:55:37
64,closed,2020-06-15 11:47:06,,,1,547,Allow building without a C++ compiler on CMake versions less than 3.12,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/547,
65,open,2020-06-12 12:59:09,,,4,544,Improve security encryption and decryption functions,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/544,
66,open,2020-06-11 21:19:43,,,1,543,Fix MSYS2 mingw compilation,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/543,
67,closed,2020-06-08 19:28:56,,325884.0,1,541,Allow building without a C++ compiler,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/541,2020-06-12 14:00:20
68,closed,2020-06-08 14:21:32,,265379.0,1,540,Remove from ddsrt dynlib and filesystem when building FreeRTOS,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/540,2020-06-11 16:04:31
69,closed,2020-06-06 11:49:02,,178952.0,6,537,A few fixes for issues signalled by Coverity,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/537,2020-06-08 13:31:34
70,closed,2020-06-05 13:44:50,,78563.0,1,536,Remove ssm argument when ssm not available,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/536,2020-06-06 11:34:13
71,closed,2020-06-05 09:48:57,,93785.0,1,535,Perform type conversion for transient-local data,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/535,2020-06-06 11:52:02
72,closed,2020-06-05 07:17:53,,54.0,1,534,Build OpenSSL dependent parts only if present,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/534,2020-06-05 07:18:47
73,closed,2020-06-04 16:34:37,,51194.0,1,533,Drop macOS 10.12 build from Travis CI cron job,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/533,2020-06-05 06:47:51
74,closed,2020-06-04 16:01:09,,53450.0,5,532,Some plist handling things,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/532,2020-06-05 06:51:59
75,closed,2020-06-03 20:28:36,,,5,531,Improvements to plist things,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/531,
76,open,2020-05-29 19:42:56,,,5,530,Entity enable,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/530,
77,closed,2020-05-29 11:37:21,,3582.0,1,529,Fix uninitialized use of relay_only,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/529,2020-05-29 12:37:03
78,closed,2020-05-25 13:10:50,,873399.0,259,527,Merge security into master,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/527,2020-06-04 15:47:29
79,closed,2020-05-25 09:11:59,,12746.0,2,526,OpenSSL 1.0.2 compatibility,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/526,2020-05-25 12:44:25
80,open,2020-05-21 20:39:15,,,4,525,Resynchronize IDL.g4 with grammars-v4,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/525,
81,open,2020-05-20 11:40:10,,,2,522,Link with pthread,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/522,
82,closed,2020-05-20 11:38:46,,8943.0,1,521,remove unused atomic pointer operations,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/521,2020-05-20 14:07:49
83,closed,2020-05-20 11:37:02,,,1,520,Link with pthread,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/520,
84,closed,2020-05-19 18:28:35,,70241.0,1,519,Refactor access control test permissions_expiry_multiple,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/519,2020-05-20 13:59:16
85,closed,2020-05-18 13:48:11,,68476.0,1,517,Handling of syntax errors in network partitions,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/517,2020-05-19 08:49:27
86,closed,2020-05-16 21:10:45,,143032.0,1,516,Fix use-after-free via (proxy)pp min lease pointer,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/516,2020-05-18 12:54:37
87,closed,2020-05-15 01:55:46,,114119.0,1,514,Add EDL 1.0 license to package.xml,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/514,2020-05-16 09:37:45
88,closed,2020-05-13 17:24:42,,159050.0,16,513,Add security tests and fix some bugs in security implementation,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/513,2020-05-15 13:35:32
89,closed,2020-05-13 14:42:24,,240942.0,36,512,"auto-dispose, reconnects, readcdr, static analysis, refactoring",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/512,2020-05-16 09:38:06
90,closed,2020-05-11 14:41:15,,94778.0,17,511,Merge master into security,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/511,2020-05-12 17:00:53
91,open,2020-05-06 17:32:32,,,1,510,updated to push cylonedds not just ddsperf,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/510,
92,closed,2020-05-06 09:36:04,,167588.0,3,509,Prepare for 0.6.0 release,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/509,2020-05-08 08:09:12
93,closed,2020-05-04 07:58:30,,623091.0,4,508,Update security handshake when optional fields of handshake tokens are missing,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/508,2020-05-11 13:03:21
94,open,2020-05-01 18:39:17,,,1,507,Document the versioning policy,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/507,
95,closed,2020-05-01 07:35:52,,443885.0,2,506,Add instructions for Android,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/506,2020-05-06 10:53:57
96,closed,2020-04-30 14:25:48,,,14,505,Preparatory work for implementing autopurge on RHC,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/505,
97,closed,2020-04-27 17:08:28,,84987.0,2,503,Fix some typos,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/503,2020-04-28 16:44:55
98,closed,2020-04-27 14:58:24,,,1,502,Fix some typos,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/502,
