,closed_at,created_at,labels,id,number,state,title,url,last_mod,comments,turn_round
0,,2020-10-09 07:22:16,[],717919392,255,closed,[Backport Foxy] Included improvements to increase code coverage,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/255,,4,541385.0
1,,2020-10-07 13:32:40,[],716534650,254,closed,Update maintainers,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/254,,0,25536.0
2,,2020-10-07 08:30:29,[],716316740,253,open,Fix format string incorrect use of %ld/%d instead of %zu/%PRIu32,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/253,,0,
3,,2020-10-01 23:08:28,[],713240449,252,closed,[foxy] rmw_destroy_node must remove node from graph cache,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/252,,0,409249.0
4,,2020-09-29 03:51:29,[],710738703,251,open,poor performance with pub/sub of pointclouds between computers,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/251,,3,
5,,2020-09-28 15:08:45,[],710353263,250,closed,Return RMW_RET_UNSUPPORTED in rmw_get_serialized_message_size,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/250,,1,62369.0
6,,2020-09-24 21:00:19,[],708471430,249,closed,Update service/client request/response API error returns,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/249,,5,359386.0
7,,2020-09-24 16:01:33,"[Label(name=""bug"")]",708293238,248,closed,Fix array `get_function` semantics,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/248,,0,19854.0
8,,2020-09-23 18:08:13,[],707572640,247,closed,Update service/client construction/destruction API return codes.,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/247,,5,86161.0
9,,2020-09-23 10:51:39,"[Label(name=""enhancement"")]",707256792,246,closed,Updated rmw_* return codes,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/246,,2,189651.0
10,,2020-09-21 23:09:18,[],705972312,245,closed,Check for message_info on take where appropriate.,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/245,,0,50561.0
11,,2020-09-21 22:51:51,[],705965642,244,closed,Update gid API return codes.,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/244,,5,80917.0
12,,2020-09-18 23:12:58,[],704704430,243,closed,Update graph API return codes.,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/243,,6,333695.0
13,,2020-09-17 19:01:09,[],703832365,242,closed,Updated error returns on rmw_take_serialized and with_message_info,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/242,,1,96081.0
14,,2020-09-14 14:44:34,[],701168993,241,closed,Updated error returns on rmw_take,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/241,,4,370191.0
15,,2020-09-10 14:05:50,[],698014870,240,closed,Updated error returns on rmw_publish_serialized_message to comply with documentation,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/240,,1,106644.0
16,,2020-09-09 17:57:54,[],697029031,239,closed,Updated error returns on rmw_publish to comply with documentation,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/239,,1,179088.0
17,,2020-09-09 01:58:55,[],696325397,238,open,"added ""Tier 1""",https://api.github.com/repos/ros2/rmw_cyclonedds/issues/238,,0,
18,,2020-09-08 05:02:55,[],695549419,237,closed,Suppress cppcheck unknownMacro,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/237,,2,39363.0
19,,2020-09-04 02:44:32,[],692628924,236,closed,Fix that not to delete some objects after destroying functions,https://api.github.com/repos/ros2/rmw_cyclonedds/issues/236,,14,667864.0
