,closed_at,created_at,labels,id,number,state,title,url,last_mod,comments,turn_round
0,,2020-10-17 08:13:08,[],723702540,1500,open,Support ack messages with garbage 1's [9633],https://api.github.com/repos/eProsima/Fast-DDS/issues/1500,,0,
1,,2020-10-16 14:59:11,[],723299198,1499,closed,[Discovery Server] Send new updates,https://api.github.com/repos/eProsima/Fast-DDS/issues/1499,,1,18243.0
2,,2020-10-16 11:51:04,[],723151293,1498,open,Sharing payloads on intra-process [9631],https://api.github.com/repos/eProsima/Fast-DDS/issues/1498,,1,
3,,2020-10-16 10:46:56,[],723112116,1497,open,Fix transient local retransmission after participant drop [9630],https://api.github.com/repos/eProsima/Fast-DDS/issues/1497,,1,
4,,2020-10-16 09:04:34,[],723043197,1496,open,Keep pending security messages directed for each local endpoint <master> [9627],https://api.github.com/repos/eProsima/Fast-DDS/issues/1496,,1,
5,,2020-10-15 22:05:06,[],722706113,1495,open,libfastrtps build not linking against libatomic in an ARMHF environment,https://api.github.com/repos/eProsima/Fast-DDS/issues/1495,,3,
6,,2020-10-15 19:19:42,"[Label(name=""no-test"")]",722601489,1494,closed,[Discovery Server] Cleanup mutex,https://api.github.com/repos/eProsima/Fast-DDS/issues/1494,,1,41574.0
7,,2020-10-15 15:05:06,"[Label(name=""no-test"")]",722421480,1493,closed,[Discovery Server] Fix intra-participant endpoint discovery,https://api.github.com/repos/eProsima/Fast-DDS/issues/1493,,0,1497.0
8,,2020-10-15 13:30:10,"[Label(name=""no-test"")]",722338682,1492,closed,Bump version 2.1.0,https://api.github.com/repos/eProsima/Fast-DDS/issues/1492,,0,1952.0
9,,2020-10-15 13:05:04,[],722318223,1491,closed,Use topic payload pool on builtin endpoints [9613],https://api.github.com/repos/eProsima/Fast-DDS/issues/1491,,2,78578.0
10,,2020-10-15 10:05:43,[],722190529,1490,open,Keep pending security messages directed for each local endpoint [9621],https://api.github.com/repos/eProsima/Fast-DDS/issues/1490,,1,
11,,2020-10-15 09:18:04,[],722154740,1489,open,Installation Fast-RTPS-Gen,https://api.github.com/repos/eProsima/Fast-DDS/issues/1489,,0,
12,,2020-10-14 13:04:14,"[Label(name=""no-test"")]",721441033,1488,closed,Use topic payload pool on user created endpoints [9605],https://api.github.com/repos/eProsima/Fast-DDS/issues/1488,,1,74164.0
13,,2020-10-14 09:25:42,[],721294475,1487,open,TCP Subscriber Failed to Reconnect Within Single Process ,https://api.github.com/repos/eProsima/Fast-DDS/issues/1487,,1,
14,,2020-10-14 09:19:06,[],721289826,1486,closed,Fixed interlocking on endpoint deletion <master> [9612],https://api.github.com/repos/eProsima/Fast-DDS/issues/1486,,1,72137.0
15,,2020-10-14 09:10:27,"[Label(name=""no-test"")]",721283560,1485,closed,[Discovery Server] Clear Database only one server version [9598],https://api.github.com/repos/eProsima/Fast-DDS/issues/1485,,0,20512.0
16,,2020-10-13 19:01:14,[],720690114,1484,open,Segmentation fault caused by sequential Asio calls,https://api.github.com/repos/eProsima/Fast-DDS/issues/1484,,0,
17,,2020-10-13 13:39:34,"[Label(name=""no-test"")]",720267732,1483,closed,Documentation corrections for TopicPayloadPool branch,https://api.github.com/repos/eProsima/Fast-DDS/issues/1483,,0,295.0
18,,2020-10-13 10:56:44,[],720119198,1482,open,Added methods to get qos defined in XML Profile [9607],https://api.github.com/repos/eProsima/Fast-DDS/issues/1482,,4,
19,,2020-10-13 09:26:08,[],720047400,1481,closed,Topic pool registry [9595],https://api.github.com/repos/eProsima/Fast-DDS/issues/1481,,2,99231.0
20,,2020-10-13 05:57:32,"[Label(name=""no-test"")]",719889931,1480,closed,[Discovery Server] Remove change in History comparing instance handle,https://api.github.com/repos/eProsima/Fast-DDS/issues/1480,,1,34555.0
21,,2020-10-10 08:45:53,[],718570311,1479,closed,Fix wrong calculation of user multicast port [9599],https://api.github.com/repos/eProsima/Fast-DDS/issues/1479,,1,248921.0
22,,2020-10-09 13:08:58,"[Label(name=""no-test"")]",718132609,1478,closed,[Discovery Server] Reset and destroy database [9598],https://api.github.com/repos/eProsima/Fast-DDS/issues/1478,,1,530253.0
23,,2020-10-09 09:21:32,"[Label(name=""no-test"")]",717992899,1477,closed,[Discovery Server] Connect remote servers [9596],https://api.github.com/repos/eProsima/Fast-DDS/issues/1477,,0,373974.0
24,,2020-10-09 07:10:05,"[Label(name=""no-test"")]",717912500,1476,closed,RTPS reader creation with custom payload pool [9494],https://api.github.com/repos/eProsima/Fast-DDS/issues/1476,,2,353521.0
25,,2020-10-08 15:29:03,[],717448615,1475,open,governance rules order <2.0.x> [9584],https://api.github.com/repos/eProsima/Fast-DDS/issues/1475,,2,
26,,2020-10-08 15:25:41,[],717446051,1474,closed,governance rules order <master> [9583],https://api.github.com/repos/eProsima/Fast-DDS/issues/1474,,1,601357.0
27,,2020-10-08 14:48:10,"[Label(name=""no-test"")]",717414851,1473,closed,[Discovery Server] Propagation to other servers using virtual topics [9582],https://api.github.com/repos/eProsima/Fast-DDS/issues/1473,,0,682772.0
28,,2020-10-08 10:24:46,[],717217608,1472,closed,Warning Log when an inconsistent acknack is received [9579],https://api.github.com/repos/eProsima/Fast-DDS/issues/1472,,1,123533.0
29,,2020-10-08 07:17:49,[],717090777,1470,closed,Forwardport of #1469 into master [9574],https://api.github.com/repos/eProsima/Fast-DDS/issues/1470,,0,630027.0
30,,2020-10-08 07:00:28,[],717080517,1469,closed,Account for new API on foonathan_memory [9545],https://api.github.com/repos/eProsima/Fast-DDS/issues/1469,,1,94704.0
31,,2020-10-08 06:44:42,[],717072097,1468,closed,Added mising cleanup in XMLProfileParser [9572],https://api.github.com/repos/eProsima/Fast-DDS/issues/1468,,1,81149.0
32,,2020-10-07 14:25:52,"[Label(name=""no-test"")]",716580087,1467,closed,[Discovery Server] Identify writers and readers only with values valid in RTPS specification,https://api.github.com/repos/eProsima/Fast-DDS/issues/1467,,0,140517.0
33,,2020-10-07 05:14:40,[],716202511,1466,closed,Use posix_fallocate <2.0.x>,https://api.github.com/repos/eProsima/Fast-DDS/issues/1466,,2,92723.0
34,,2020-10-07 05:12:53,[],716201770,1465,closed,Use posix_fallocate,https://api.github.com/repos/eProsima/Fast-DDS/issues/1465,,2,92778.0
35,,2020-10-07 00:57:21,[],716117018,1464,closed,Calculation of memory_pool_block_size incorrectly uses a function pointer as an integral value.,https://api.github.com/repos/eProsima/Fast-DDS/issues/1464,,3,203002.0
36,,2020-10-06 13:52:43,[],715700513,1463,closed,Fixed RTPSWithRegistrationReader <2.0.x> [9538],https://api.github.com/repos/eProsima/Fast-DDS/issues/1463,,1,149137.0
