,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
0,open,2020-10-17 08:13:08,,,1,1500,Support ack messages with garbage 1's [9633],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1500,
1,closed,2020-10-16 14:59:11,,18243.0,4,1499,[Discovery Server] Send new updates,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1499,2020-10-16 20:03:14
2,open,2020-10-16 11:51:04,,,12,1498,Sharing payloads on intra-process [9631],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1498,
3,open,2020-10-16 10:46:56,,,4,1497,Fix transient local retransmission after participant drop [9630],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1497,
4,open,2020-10-16 09:04:34,,,6,1496,Keep pending security messages directed for each local endpoint <master> [9627],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1496,
5,closed,2020-10-15 19:19:42,,41574.0,1,1494,[Discovery Server] Cleanup mutex,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1494,2020-10-16 06:52:36
6,closed,2020-10-15 15:05:06,,1497.0,1,1493,[Discovery Server] Fix intra-participant endpoint discovery,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1493,2020-10-15 15:30:03
7,closed,2020-10-15 13:30:10,,1952.0,2,1492,Bump version 2.1.0,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1492,2020-10-15 14:02:42
8,closed,2020-10-15 13:05:04,,78578.0,21,1491,Use topic payload pool on builtin endpoints [9613],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1491,2020-10-16 10:54:42
9,open,2020-10-15 10:05:43,,,8,1490,Keep pending security messages directed for each local endpoint [9621],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1490,
10,closed,2020-10-14 13:04:14,,74164.0,14,1488,Use topic payload pool on user created endpoints [9605],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1488,2020-10-15 09:40:18
11,closed,2020-10-14 09:19:06,,72137.0,7,1486,Fixed interlocking on endpoint deletion <master> [9612],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1486,2020-10-15 05:21:23
12,closed,2020-10-14 09:10:27,,20512.0,2,1485,[Discovery Server] Clear Database only one server version [9598],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1485,2020-10-14 14:52:19
13,closed,2020-10-13 13:39:34,,295.0,2,1483,Documentation corrections for TopicPayloadPool branch,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1483,2020-10-13 13:44:29
14,open,2020-10-13 10:56:44,,,14,1482,Added methods to get qos defined in XML Profile [9607],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1482,
15,closed,2020-10-13 09:26:08,,99231.0,24,1481,Topic pool registry [9595],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1481,2020-10-14 12:59:59
16,closed,2020-10-13 05:57:32,,34555.0,4,1480,[Discovery Server] Remove change in History comparing instance handle,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1480,2020-10-13 15:33:27
17,closed,2020-10-10 08:45:53,,248921.0,1,1479,Fix wrong calculation of user multicast port [9599],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1479,2020-10-13 05:54:34
18,closed,2020-10-09 13:08:58,,,46,1478,[Discovery Server] Reset and destroy database [9598],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1478,
19,closed,2020-10-09 09:21:32,,373974.0,5,1477,[Discovery Server] Connect remote servers [9596],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1477,2020-10-13 17:14:26
20,closed,2020-10-09 07:10:05,,353521.0,25,1476,RTPS reader creation with custom payload pool [9494],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1476,2020-10-13 09:22:06
21,open,2020-10-08 15:29:03,,,5,1475,governance rules order <2.0.x> [9584],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1475,
22,closed,2020-10-08 15:25:41,,601357.0,5,1474,governance rules order <master> [9583],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1474,2020-10-15 14:28:18
23,closed,2020-10-08 14:48:10,,682772.0,10,1473,[Discovery Server] Propagation to other servers using virtual topics [9582],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1473,2020-10-16 12:27:42
24,closed,2020-10-08 10:24:46,,123533.0,15,1472,Warning Log when an inconsistent acknack is received [9579],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1472,2020-10-09 20:43:39
25,closed,2020-10-08 07:17:49,,630027.0,1,1470,Forwardport of #1469 into master [9574],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1470,2020-10-15 14:18:16
26,closed,2020-10-08 07:00:28,,94704.0,3,1469,Account for new API on foonathan_memory [9545],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1469,2020-10-09 09:18:52
