,closed_at,created_at,labels,id,number,state,title,url,last_mod,comments,turn_round
0,,2020-10-13 12:47:39,[],720207810,466,open,Update README to clarify the use of environment variable RMW_FASTRTPS_USE_QOS_FROM_XML,https://api.github.com/repos/ros2/rmw_fastrtps/issues/466,,0,
1,,2020-10-13 10:47:53,[],720112732,465,closed,Not enough memory in the buffer stream error,https://api.github.com/repos/ros2/rmw_fastrtps/issues/465,,2,3744.0
2,,2020-10-13 09:00:53,[],720025055,464,closed,Example xml does not change the qos of the simple ROS2 publisher,https://api.github.com/repos/ros2/rmw_fastrtps/issues/464,,2,5924.0
3,,2020-09-23 11:01:08,"[Label(name=""bug"")]",718278752,463,open,Exception was thrown while recording into bag high frequency exchange of components,https://api.github.com/repos/ros2/rmw_fastrtps/issues/463,,7,
4,,2020-10-09 07:19:39,[],717917950,462,closed,[Backport Foxy] Included improvements to increase code coverage,https://api.github.com/repos/ros2/rmw_fastrtps/issues/462,,5,541126.0
5,,2020-10-09 01:00:30,[],717769371,461,open,Uncaught exception causing test failures in macOS,https://api.github.com/repos/ros2/rmw_fastrtps/issues/461,,2,
6,,2020-10-08 14:49:13,"[Label(name=""more-information-needed"")]",717415728,460,open,ROS2 image topic publisher freezes when a subscriber is initiated at a remote PC,https://api.github.com/repos/ros2/rmw_fastrtps/issues/460,,8,
7,,2020-10-06 23:43:00,[],716092272,459,closed,Update the package.xml files with the latest Open Robotics maintainers,https://api.github.com/repos/ros2/rmw_fastrtps/issues/459,,0,60895.0
8,,2020-10-01 19:02:15,"[Label(name=""bug"")]",713107208,458,closed,Ensure rmw_destroy_node() completes despite run-time errors.,https://api.github.com/repos/ros2/rmw_fastrtps/issues/458,,2,6292.0
9,,2020-09-30 22:08:53,[],712313491,457,closed,Handle too large QoS queue depths. ,https://api.github.com/repos/ros2/rmw_fastrtps/issues/457,,1,6296.0
10,,2020-09-30 19:08:47,[],712205264,456,closed,Update rmw_fastrtps_cpp and rmw_fastrtps_shared_cpp QDs to QL2.,https://api.github.com/repos/ros2/rmw_fastrtps/issues/456,,1,14314.0
11,,2020-09-30 09:18:08,[],711779441,455,closed,Update Quality Declarations and READMEs,https://api.github.com/repos/ros2/rmw_fastrtps/issues/455,,3,509287.0
12,,2020-09-29 03:57:48,"[Label(name=""more-information-needed"")]",710740711,454,open,occasional long message delay in remote node subscription of pointcloud,https://api.github.com/repos/ros2/rmw_fastrtps/issues/454,,2,
