,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
0,open,2020-10-13 12:47:39,,,4,466,Update README to clarify the use of environment variable RMW_FASTRTPS_USE_QOS_FROM_XML,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/466,
1,closed,2020-10-09 07:19:39,,541126.0,28,462,[Backport Foxy] Included improvements to increase code coverage,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/462,2020-10-15 13:38:25
2,closed,2020-10-06 23:43:00,,60895.0,1,459,Update the package.xml files with the latest Open Robotics maintainers,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/459,2020-10-07 16:37:55
3,closed,2020-10-01 19:02:15,,6291.0,1,458,Ensure rmw_destroy_node() completes despite run-time errors.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/458,2020-10-01 20:47:06
4,closed,2020-09-30 22:08:53,,6296.0,3,457,Handle too large QoS queue depths. ,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/457,2020-09-30 23:53:49
5,closed,2020-09-30 19:08:47,,14314.0,2,456,Update rmw_fastrtps_cpp and rmw_fastrtps_shared_cpp QDs to QL2.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/456,2020-09-30 23:07:21
6,closed,2020-09-30 09:18:08,,509287.0,14,455,Update Quality Declarations and READMEs,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/455,2020-10-06 06:46:15
7,closed,2020-09-28 22:53:39,,310447.0,2,453,Perform fault injection in all creation/destruction APIs.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/453,2020-10-02 13:07:46
8,closed,2020-09-28 15:08:14,,60970.0,1,452,Return RMW_RET_UNSUPPORTED in rmw_get_serialized_message_size,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/452,2020-09-29 08:04:24
9,closed,2020-09-28 09:46:58,,79918.0,1,451,Checked client implementation and return RMW_RET_INCORRECT_RMW_IMPLEMENTATION in rmw_service_server_is_available,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/451,2020-09-29 07:58:56
10,closed,2020-09-24 21:06:59,,351037.0,7,450,Update service/client request/response API error returns,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/450,2020-09-28 22:37:36
11,closed,2020-09-24 16:11:18,,8017.0,1,449,Add tests for RMW QoS to DDS attribute conversion.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/449,2020-09-24 18:24:55
12,closed,2020-09-24 16:00:43,,19915.0,2,448,Fix array `get_function` semantics,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/448,2020-09-24 21:32:38
13,closed,2020-09-24 14:23:15,,,1,447,Improved return error in __rmw_destroy_client,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/447,
14,closed,2020-09-23 18:07:27,,84043.0,5,445,Make service/client construction/destruction implementation compliant,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/445,2020-09-24 17:28:10
15,closed,2020-09-23 10:51:49,,189634.0,8,443,Updated rmw_* return codes,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/443,2020-09-25 15:32:23
16,closed,2020-09-22 14:34:40,,259214.0,3,442,Added rmw_logging tests,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/442,2020-09-25 14:34:54
17,closed,2020-09-22 14:14:22,,83930.0,1,441,Inject faults on __rmw_publish() and run_listener_thread() call.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/441,2020-09-23 13:33:12
18,closed,2020-09-21 22:51:33,,80932.0,1,440,Update gid API return codes.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/440,2020-09-22 21:20:25
19,closed,2020-09-21 20:10:40,,62390.0,2,439,Add tests for native entity getters,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/439,2020-09-22 13:30:30
20,closed,2020-09-21 16:28:04,,75113.0,1,438,Avoid deadlock if graph update fails.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/438,2020-09-22 13:19:57
21,closed,2020-09-19 03:00:38,,409330.0,2,437,Make sure type can be unregistered successfully,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/437,2020-09-23 20:42:48
22,closed,2020-09-18 20:40:17,,342846.0,1,436,Update graph API return codes.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/436,2020-09-22 19:54:23
23,closed,2020-09-17 19:25:49,,94627.0,2,435,Updated error returns on rmw_take_serialized and with_message_info ,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/435,2020-09-18 21:42:56
24,closed,2020-09-17 06:23:15,,114017.0,2,434,Call Domain::removePublishe while failure occurs in create_publisher,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/434,2020-09-18 14:03:32
25,closed,2020-09-14 14:51:18,,369994.0,6,432,Updated error returns on rmw_take,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/432,2020-09-18 21:37:52
26,closed,2020-09-10 16:01:26,,99548.0,1,431,Updated error returns on rmw_publish_serialize to comply with documentation,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/431,2020-09-11 19:40:34
27,closed,2020-09-09 18:04:28,,178654.0,3,430,Updated error returns on rmw_publish to comply with documentation,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/430,2020-09-11 19:42:02
28,closed,2020-09-07 08:55:14,,207576.0,7,429,Avoid memory leaks and undefined behavior in rmw_fastrtps_dynamic_cpp typesupport code,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/429,2020-09-09 18:34:50
29,closed,2020-08-27 13:08:45,,102382.0,2,427,Improve __rmw_create_wait_set() implementation.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/427,2020-08-28 17:35:07
30,closed,2020-08-25 02:10:50,,37961.0,1,426,[foxy] Fix memory leak that wait_set might be not destoryed in some case. (#423),https://api.github.com/repos/ros2/rmw_fastrtps/pulls/426,2020-08-25 12:43:31
31,closed,2020-08-20 14:47:26,,368740.0,2,425,Ensure compliant publisher QoS queries.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/425,2020-08-24 21:13:06
32,closed,2020-08-20 14:38:56,,609353.0,1,424,Ensure compliant matched pub/sub count API.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/424,2020-08-27 15:54:49
33,closed,2020-08-12 06:34:59,,1079231.0,1,423,Fix memory leak that wait_set might be not destroyed in some case.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/423,2020-08-24 18:22:10
34,closed,2020-08-07 13:42:15,,11553.0,1,422,Avoid unused identifier variable warnings.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/422,2020-08-07 16:54:48
