Timestamp,"This survey is intended specifically to understand the middleware experience for ROS 2 Foxy; but we're open to hearing about experiences with other ROS versions. For your answers to this survey, what version of ROS 2 are you using? ",Which of the following best describes your robotic application?,Which of the following transport layers does your application use?,Which of the following best describes your robot's application domain?,On a scale from 1 to 10 please rate your computer networking and debugging skills. ,We want to understand your ROS experience. How many years have you been using ROS? ,Please rate your familiarity with ROS Middleware.,Please rate your Linux debugging and development skills. ,Have you changed your default ROS 2 Foxy RMW ?,For ROS 2 Foxy what ROS middleware layer are you primarily using? ,Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW worked out of the box for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I understand how RMWs work.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I am capable of changing my RMW easily.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would/have considered changing my RMW implementation.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [Open Robotics provides sufficient information for me to make a sound RMW selection.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient support.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient  documentation.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient debugging tools.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient features for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient performance for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I am considering or have considered changing my current RMW implementation due to technical challenges.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [DDS/RMWs have improved the overall ROS experience.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would advocate for my current RMW to be the default ROS 2.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would recommend my current RMW to a friend.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My RMW interoperates well with other systems. ],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [Based on the out-of-the-box experience I would recommend ROS2 Foxy to a friend.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [ROS should continue to use DDS as the default RMW implementation.],"Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I consider my current RMW implementation robust, reliable, and ready for production.]",Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I consider my current RMW implementation secure.],"Please briefly describe your robotics application and and its associated network topology. This description helps us understand sub-domains where particular RMWs may have issues. In particular, specify if you had privileged/root access to the network infrastructure or not. ","Please describe your ROS RMW journey for ROS 2. If you used the default and it worked great, let us know. If you had to change RMWs please let us know why this happened and what that process was like. If you had a good or bad experience with your RMW we would to hear about it. ","How can the RMW ecosystem be improved? Are there features you require? Are there tools, documentation, or materials that would improve the ROS 2 experience?",Would you like to advocate for or against a particular default RMW to the TSC? If so please identify the RMW and why you believe it is the best choice.,Is there anything else you would like us to know or to communicate to the TSC? 
2020/09/17 6:23:18 PM MDT,Foxy,Multiple robots controlled from multiple computers,Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that someone else controls,Medical,8,12,5,6,Yes,ADLink CycloneDDS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,"The system is a combined robot fleet manager and smart building infrastructure manager. A central controller interacts with remote robots through an interface layer, which hides the communication with the actual robots. The controller and this interface layer may be distributed across different computers on a wired or wireless network. The central controller also controls the smart building infrastructure, which requires using ROS connections across the wifi network to embedded devices distributed throughout the building.
The network is a mix of wired ethernet and managed wifi access points. The managed wifi blocks multicast, and often interferes with UDP in general.","We have been using Fast RTPS for two years, and during that time have had continual problems with using it on the distributed network of our environment. The biggest hurdle has been DDS's discovery mechanism, which is based on multicast UDP. This interacts poorly with the managed wifi, and as a result it is typical for different parts of our distributed system to not be able to find each other. We have recently begun resolving this problem through the use of a discovery service as an alternative to distributed discovery.

Separate from the discovery problems, we have found Fast RTPS to be generally unreliable. There are often bugs of varying severity, and the reliability of data transmission is less than necessary for a robust deployment. Bug fixes we have requested are often delivered with new bugs or unexpected behaviour included. We suspect that the makers of Fast RTPS/Fast DDS have mainly been testing it in isolation, not as part of a ROS system (which places somewhat unusual demands on the DDS infrastructure).

The final straw was the release of ROS 2 Foxy. Our system just plain failed to work on the initial release of Foxy (a LTS release). Investigation determined the cause to be the completely broken support for services in Fast DDS, the default RMW for Foxy. This took several days to track down. When we found that Fast DDS was the cause, we tried switching to Cyclone DDS. The system worked the first time we tried, with no configuration other than setting the RMW middleware environment variable. Due to this, we are now planning to switch our main deployment to Cyclone DDS, and use Cyclone DDS for future deployments.","A tool that makes it easy for a user to benchmark the different RMW implementations in their network infrastructure, including distributed nodes, and understand which RMW is best for their environment would ease the selection process for users who are not network engineers.",,
2020/09/17 7:05:58 PM MDT,Foxy,Multiple robots controlled from multiple computers,"Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that someone else controls;4G LTE / 5G  / Telecom;Embedded communications (serial, I2C, USB, etc)",Corporate R&D,6,6,4,4,Yes,ADLink CycloneDDS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,NO OPINION / NOT APPLICABLE,Strongly Agree,NO OPINION / NOT APPLICABLE,Agree,NO OPINION / NOT APPLICABLE,"Individual robot agents in a common space. They share essentially no information directly, except through a cloud connection where a central cloud operator collects and distributes data. Robots have LTE backup connection to be used when off Wifi for sufficiently long and only for critical data for operations centers. Robots have embedded boards without ROS onboard used for low-level control, charging, LEDs, etc. This is communicated over UDP. ","I see frequent crashes of Rviz in use and switched to Cyclone to remove those issues. I'd also be fine considering a non-DDS RMW layer. Changing the parameter for RMW is easy, but if you change it in a terminal, you cannot build your colcon workspace in the same terminal or you get a ton of esoteric errors. I have to make sure to have multiple sessions open for building, running, and debugging. ","Better Wifi support, focus on no errors / warnings (occasionally warnings from RMW, RCL, etc will flood the screen at what seems like 1+kHz washing out all my logs), better documentation focused at roboticists and not networking experts. Preconfigured profiles for common needs I can copy/paste and use (e.g. DDS config xml files for common non-default supported needs just available for use or to build off of). Official docs about ""if you have XYZ application, the best RMW is XYZ with XYZ configuration file"". I don't want to have to ask people I work with to have to go through expensive and time consuming benchmarks to find out things known by others. Officially documented issues with RMW/DDS vendors rather than hiding them for users to find accidentally.   ",,"In the document for RMW selection, I would consider removing the ""testimonials"" section. I don't think anecdotal experiences are terribly representative, if some are pressuring people to give testimonials in order to boost their perceived value. I think testimonials should only be considered if accompanied by specific and measurable metrics they took based on their own needs in order to come to that decision. "
2020/09/17 8:07:13 PM MDT,Foxy,One robot controlled from with second remote computer as a terminal.,Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.,Education,8,1,4,5,Yes,ADLink CycloneDDS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Used in education domain and controlled by WiFi.,Cyclone DDS has better performance and less problems in my experience.,Some debug tools is not as sufficient as ROS1.,Of cource rmw_cyclonedds_cpp.,None.
2020/09/17 8:07:24 PM MDT,Foxy,One robot controlled from with second remote computer as a terminal.,A wireless network (802.11 a/b/g) that you control.,Academic Research,8,2,3,5,Yes,ADLink CycloneDDS,Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,I can setup a WiFi router by myself to share the wireless for my robot. My application is to integrate some Vision AI along with ROS2 navigation stack.,"I have bad experience in node discovery when using FastRTPS, but it goes well after changing to CycloneDDS. But the default settings of CycloneDDS is not good for big packets transmission like 3D point clouds, so I have to change the default configuration of CycloneDDS.",,,
2020/09/18 12:20:08 AM MDT,Foxy,Multiple robots controlled from multiple computers,"Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that someone else controls;Embedded communications (serial, I2C, USB, etc)",Corporate R&D,8,4,3,5,Yes,ADLink CycloneDDS,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,"Multi-device integration with doors, lifts, mobile vehicles, robotic arms. I had root access to the network infrastructure, which was very helpful but cannot be expected in deployment.","We used to use Fast-DDS, which worked well for single LAN setups but encountered issues on multi-LAN setups. Multiple issues were found in the process of debugging and the process of trying to run demonstrations / development using it was challenging. This was on Eloquent.  We have since moved to Foxy + CycloneDDS and the issues have been resolved on CycloneDDS.","So far my uses for RMW has been very transparent, so the most documentation so far has been to correctly write the corresponding configuration XML files with their expected behavior. It might also be helpful to specify the current DDS implementation being used when nodes are launched, in order to minimize configuration errors.",So far I have tested Fast-DDS on Eloquent and CycloneDDS on Foxy. It might be unfair to compare the two on an equal basis but CycloneDDS has had less problems so far.,Keep up the good work!
2020/09/18 2:55:48 AM MDT,Foxy,One robot with multiple onboard computers,Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls,Academic Research,9,7,5,6,Yes,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,I work with Navigation2 and ROS2 Planning System to carry out behaviors in environments like RoboCup@Home,"Last year I had to change to Opensplice for 4K images, but I think this is now working in FastDDS. I had not to change to Cyclone for Nav2, as many people say. ","I would like that RMW to expose some features as delivery in order, for example. I consider it critical to remove QoS specifications in subscribers. It should adapt to the QoS of the publisher.",No. ,Go ROS!!!
2020/09/18 4:32:59 AM MDT,Eloquent,Multiple robots controlled from multiple computers,Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that you control.,Academic Research,7,1,4,6,No,eProsima FastDDS (Foxy default),Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,NO OPINION / NOT APPLICABLE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Agree,NO OPINION / NOT APPLICABLE,Multiple drones with onboard computers communicating with a ground station computer.  Total control over wireless comms.,Used default.  Works well for our project. Not tried any alternatives.,No problems so far so not an issue.,No opinion.,No.
2020/09/18 2:02:21 PM MDT,Foxy,One robot controlled from with second remote computer as a terminal.,"Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that you control.;Embedded communications (serial, I2C, USB, etc)",Industrial,7,1,4,5,Yes,ADLink CycloneDDS,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Single robot on a shared wifi network operated by a remote terminal over wifi. I have full access to the infrastructure.,"I started with FastRTPS, did a summary analysis of others. OpenSplice and FastRTPS had serious technical issues. OpenSplice provided technical support but were unable to fix the technical issues, ultimately encouraging me to try Cyclone DDS. FastRTPS failed to acknowledge the problem for a long time but ultimately fixed the issue. CycloneDDS provided the best experience out of the box. Here's my experience: https://blog.roverrobotics.com/navigation2-now-were-getting-somewhere/","EXPECTATIONS. It's very hard to understand how a package is supposed to work when you've never used it, or to make an educated decision between different packages without significant time investment.

I wish there were more apples-to-apples comparisons of RMWs. And examples of HOW to configure RMWs (esp. Fast DDS and Cyclone DDS, both of which provide lots of configurability but little documentation on getting started.)","Yes, I think CycloneDDS has been very strong out of the gate and very responsive.",
2020/09/18 2:40:50 PM MDT,Foxy,One robot controlled from with second remote computer as a terminal.,"A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;Embedded communications (serial, I2C, USB, etc)",Autonomy / Vehicle,10,6,3,6,Yes,ADLink CycloneDDS,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,NO OPINION / NOT APPLICABLE,"My robot has a single computer (Intel NUC) that is behind a wireless router.  I have a laptop that is used for controlling the robot, and it can connect to the computer by plugged into its local network, through a VPN over its router from an external network, or wirelessly.","I used the default (FastRTPS) for a while, but found it to be very slow at initially starting up and discovering topics and nodes.  I had terrible problems with losing packets over wireless connections, and I was not able to get it to communicate using unicast UDP or TCP at all, which I need in order for it to connect to a client that is connected over a VPN since my VPN does not transmit multicast packets.

I evaluated replacing it with RTI Connext, OpenSplice, and Cyclone.  Due to licensing I decided to not use RTI.  OpenSplice and Cyclone both immediately performed much better than FastRTPS in terms of startup time and supporting different network configurations, but I found configuring and debugging Cyclone to be a little easier, so I have stuck with that.  It still has some packet loss issues over a wireless connection, and I have not been able to get unicast TCP communication to work, but otherwise it's good enough to suit my needs.

I started with Dashing and upgraded to Eloquent while I was in the middle of this and had similar experiences with both.  I've stuck with Cyclone after upgrading to Foxy, and it's still working fine, so I have not gone back to tests any other RMWs on Foxy.","Being able to communicate without using multicast is a must for me, and so it would be great to have documented examples on how to do that.  ","My vote would be for Cyclone.  I found it to be better than FastRTPS in every way; better documentation, easier to debug, better performance, easier to configure.  OpenSplice is probably also fine, I just have less experience with it at this point.","So far, I honestly have not personally seen any benefit from using a modular RMW system compared to ROS1's communication layer.  It took quite a bit of tweaking for me to get my ROS2 system working close to reliably as it was under ROS1, and it's still not great over wireless connections."
2020/09/19 8:22:01 AM MDT,Eloquent,One robot controlled from with second remote computer as a terminal.,"Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;4G LTE / 5G  / Telecom;Embedded communications (serial, I2C, USB, etc);2.4 GHz radio controlled remote","quadrupedal robot. defense, research, surveillance, security, applications",8,11,3,6,Yes,ADLink CycloneDDS,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"We have complete control in our robot's network.

The robot runs on a Xavier board, and connects to an embedded radio via ethernet. This radio has a few want ports, sim card support, and lots of other goodies. The main board (basically a beefy arduino) connects to the Xavier through the radio, and communicates via mavlink.

Mavlink is ingested on the Xavier allowing ROS / ROS 2 controls (our primary way to drive the robots).","I changed to use cyclone for my prior company due to horribly inconsistent performance on the nightly builds for windows (circa eloquent release). The cyclone builds were, however, quite stable and reduced CPU usage by a factor of 5 (and gave quite a bit more fps in RViz).

We use cyclone at Ghost because I'm confident that, if we hit an issue, I have absolutely no doubt in my mind that Joe, Erik and the rest of the team have got our back. They're super easy to talk to, and show more passion than anybody I've seen about their middleware.","My biggest complaint is that the middlewares seem to be too focused on benchmarks as opposed to feature sets. It would be great to have more middlewares focused on specific areas, like how iceoryx is just shared memory. It would be great to have a chart comparing and contrasting the middlewares (or a table with checkboxes). There's quite a few to compare at this point (which is great), but I personally would like open robotics to provide an unbiased comparison of all features displayed in a single spot.

I should know or have a place to look at when I consider changing middlewares for a specific application.","100% absolutely CycloneDDS. It's free and open source, super open to feedback, and genuinely the most stable middleware (in my experience).","I think ros 2 launch needs to be improved significantly, and or documented quite a bit better. It feels hacky and is hard to debug for both python and xml.

Specifically, the python launch arguments are quite frustrating in practice. Worse than ROS in that regard, which is disappointing. I think this is quite a turn-off for a lot of people when they are porting their stack over."
