rmw,host,mode,topic,rate,#subscribers,zero_copy,reliable,transient,#msg received,#msg sent,#msg lost,data received,latency_min (ms),latency_max (ms),latency_mean (ms),latency_variance (ms),cpu usage (%),max ram usage (MB),CPU WIN,CPU COMPARE,RAM WIN,RAM COMPARE,LATENCY_MEAN WIN,LATENCY_MEAN COMPARE,JITTER_MEAN WIN,JITTER_MEAN COMPARE
rmw_cyclonedds_cpp,macOS M1,MultiProcess,Array16k,20,1,False,True,False,477,0,0,8195174,0.08996,0.5901,0.27702000000000004,5.84432e-06,0.04480419208,20.656,CYCLONE,9.445789569305648,CYCLONE,1.0867544012996515,CYCLONE,12.407146028640428,CYCLONE,22.871375195555235
rmw_fastrtps_cpp,macOS M1,MultiProcess,Array16k,20,1,False,True,False,477,0,0,8198947,0.04517,6.505,3.43704,0.003582,0.423220416,22.448, , , , , , , , 
rmw_cyclonedds_cpp,macOS M1,MultiProcess,Array16k,20,3,False,True,False,1431,0,0,24611967,0.08746,0.7501,0.282288,6.220400000000001e-06,0.09469621339999999,21.424,CYCLONE,4.888258390927478,CYCLONE,1.3241224176567206,CYCLONE,13.40484397195782,CYCLONE,24.451057157897036
rmw_fastrtps_cpp,macOS M1,MultiProcess,Array16k,20,3,False,True,False,1431,0,0,24591459,0.06733,7.961,3.7840400000000005,0.00431896,0.462904448,28.368, , , , , , , , 
rmw_cyclonedds_cpp,macOS M1,MultiProcess,Array16k,20,10,False,True,False,4790,0,0,81945523,0.1072,1.059,0.295692,7.5374e-06,0.3370083734,23.104,CYCLONE,1.9590094724647207,CYCLONE,2.1433517077842925,CYCLONE,15.792460423479758,CYCLONE,26.776710335757294
rmw_fastrtps_cpp,macOS M1,MultiProcess,Array16k,20,10,False,True,False,4790,0,0,82083737,0.07537,8.077,4.66972,0.00612444,0.6602045548000001,49.52, , , , , , , , 
rmw_cyclonedds_cpp,macOS M1,MultiProcess,Array16k,100,1,False,True,False,2453,0,0,40567427,0.07312,0.4652,0.170016,1.25864e-06,0.13372823467999997,22.448,CYCLONE,3.712220730103711,CYCLONE,1.0014254721389222,CYCLONE,23.122864184169817,CYCLONE,49.77808975255317
rmw_fastrtps_cpp,macOS M1,MultiProcess,Array16k,100,1,False,True,False,2469,0,0,40698752,0.06008,7.846,3.9312799999999997,0.005603040000000001,0.4964324372,22.48, , , , , , , , 
rmw_cyclonedds_cpp,macOS M1,MultiProcess,Array16k,100,3,False,True,False,7365,0,0,121632494,0.08363,0.3753,0.18857599999999997,1.3077679999999997e-06,0.31216035196,22.32,CYCLONE,2.1482241481512068,CYCLONE,1.275268760068604,CYCLONE,20.78450712441072,CYCLONE,49.570171433854085
rmw_fastrtps_cpp,macOS M1,MultiProcess,Array16k,100,3,False,True,False,7404,0,0,122029016,0.05958,7.859,3.9194799999999996,0.005677119999999999,0.6705925544,28.464, , , , , , , , 
