rmw,host,mode,topic,rate,#subscribers,zero_copy,reliable,transient,#msg received,#msg sent,#msg lost,data received,latency_min (ms),latency_max (ms),latency_mean (ms),latency_variance (ms),cpu usage (%),max ram usage (MB),CPU WIN,CPU COMPARE,RAM WIN,RAM COMPARE,LATENCY_MEAN WIN,LATENCY_MEAN COMPARE,JITTER_MEAN WIN,JITTER_MEAN COMPARE
rmw_cyclonedds_cpp,macOS M1,MultiProcess,Array16k,0,1,False,True,False,3114157,0,1056731,51072381796,0.01175,1.439,0.78262,1.207964e-05,18.058009888,38.32,FAST,15.455252615957125,FAST,1.6830638754803287,CYCLONE,8.073959170530818,CYCLONE,33.40892884188372
rmw_fastrtps_cpp,macOS M1,MultiProcess,Array16k,0,1,False,True,False,112312,0,9064222,1842061696,0.3096,63.32,6.318849999999999,0.014606000000000003,1.1684050000000001,22.768, , , , , , , , 
rmw_cyclonedds_cpp,macOS M1,MultiProcess,Array16k,0,3,False,True,False,4455238,0,6278351,73066573567,0.9824,4.048,2.18992,3.68952e-05,29.982816216,35.36,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,macOS M1,MultiProcess,Array16k,0,3,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,macOS M1,MultiProcess,Array16k,0,10,False,True,False,3261529,0,15499794,53491190445,0.01396,43.4,4.53992,0.011325800000000002,38.844421227999995,62.192,FAST,2.434692915819817,FAST,1.2386870371517082,CYCLONE,1.2472984361702248,CYCLONE,1.8907335474241909
rmw_fastrtps_cpp,macOS M1,MultiProcess,Array16k,0,10,False,True,False,930785,0,45853634,15265703513,0.5844,727.1,5.662636363636364,0.04049163636363637,15.954545454545455,50.208, , , , , , , , 
rmw_cyclonedds_cpp,macOS M1,MultiProcess,Array2m,0,1,False,True,False,20018,0,15937,42008954189,47.97,83.57,68.2472,0.0193052,12.496006800000002,713.296,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,macOS M1,MultiProcess,Array2m,0,1,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,macOS M1,MultiProcess,Array2m,0,3,False,True,False,51291,0,48405,107633334105,60.21,87.65,74.18759999999999,0.01751808,18.904010220000004,889.936,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,macOS M1,MultiProcess,Array2m,0,3,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,macOS M1,MultiProcess,Array2m,0,10,False,True,False,121610,0,123730,255298080532,69.96,156.3,101.82,0.1504792,39.738820936,1269.328,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,macOS M1,MultiProcess,Array2m,0,10,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
