rmw,host,mode,topic,rate,#subscribers,zero_copy,reliable,transient,#msg received,#msg sent,#msg lost,data received,latency_min (ms),latency_max (ms),latency_mean (ms),latency_variance (ms),cpu usage (%),max ram usage (MB),CPU WIN,CPU COMPARE,RAM WIN,RAM COMPARE,LATENCY_MEAN WIN,LATENCY_MEAN COMPARE,JITTER_MEAN WIN,JITTER_MEAN COMPARE
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array16k,20,1,False,True,False,476,0,0,8213326,0.2924,0.6356,0.437304,1.3398199999999996e-06,0.20991600006124003,13.648,FAST,1.2352868481275665,CYCLONE,1.5691675286366116,FAST,1.2599915290619448,FAST,1.0190961517196553
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array16k,20,1,False,True,False,475,0,0,8196863,0.1986,0.5902,0.347068,1.2499519999999998e-06,0.16993200007964002,21.416, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array16k,20,3,False,True,False,1425,0,0,24591219,0.351,2.748,0.4790560000000001,4.900100000000001e-06,0.47981600011636005,13.92,FAST,1.2307865944873013,CYCLONE,1.9433906649863029,FAST,1.1487024057586666,FAST,1.361516440548778
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array16k,20,3,False,True,False,1425,0,0,24590540,0.2503,0.8219,0.41704,2.179264e-06,0.38984400015312004,27.052, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array16k,20,10,False,True,False,4750,0,0,81969748,0.403,1.385,0.7935519999999999,4.739680000000001e-05,1.27952400030012,15.64,FAST,1.0580095900089757,CYCLONE,2.812020280561363,FAST,1.0217955898921613,FAST,1.0164250695561003
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array16k,20,10,False,True,False,4750,0,0,81965516,0.3182,2.094,0.7766240000000001,4.583159999999999e-05,1.2093680004164,43.98, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array16k,100,1,False,True,False,2476,0,0,41001378,0.208,0.6667,0.41582,2.8569200000000003e-06,0.90970800017152,13.616,FAST,1.2639941975919704,CYCLONE,1.5943007054714524,FAST,1.2494854158591078,FAST,1.0931856408835192
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array16k,100,1,False,True,False,2476,0,0,41000994,0.1529,0.6519,0.332792,2.2238080000000004e-06,0.7197080001715201,21.708, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array16k,100,3,False,True,False,7428,0,0,123005253,0.235,0.9489,0.4631079999999999,4.43096e-06,1.91904000033688,14.08,FAST,1.0667016482363914,CYCLONE,1.9201703181697218,FAST,1.1027194864382845,CYCLONE,1.8751173365451796
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array16k,100,3,False,True,False,7428,0,0,123001940,0.184,10.4,0.419968,1.8112e-05,1.7990400003675202,27.036, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array16k,100,10,False,True,False,24760,0,0,410015228,0.2904,7.919,0.6405160000000001,2.7292e-05,5.2780400009248005,15.376,CYCLONE,1.0132698855770401,CYCLONE,2.8636834766074744,CYCLONE,1.0607118936733915,CYCLONE,1.0500730253630397
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array16k,100,10,False,True,False,24750,0,0,409849090,0.287,10.27,0.6794039999999998,3.0207999999999996e-05,5.348080001077999,44.032, , , , , , , , 
