rmw,host,mode,topic,rate,#subscribers,zero_copy,reliable,transient,#msg received,#msg sent,#msg lost,data received,latency_min (ms),latency_max (ms),latency_mean (ms),latency_variance (ms),cpu usage (%),max ram usage (MB),CPU WIN,CPU COMPARE,RAM WIN,RAM COMPARE,LATENCY_MEAN WIN,LATENCY_MEAN COMPARE,JITTER_MEAN WIN,JITTER_MEAN COMPARE
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array16k,0,1,False,True,False,250905,0,205,4115001789,0.1317,12.16,0.19886399999999999,0.00029699504000000004,35.642800005476005,15.768,FAST,1.2625143009034714,CYCLONE,1.4373413598844902,CYCLONE,30.44577980036708,CYCLONE,3.092487783258562
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array16k,0,1,False,True,False,314737,0,259061,5161903554,0.1492,28.27,6.054599999999999,0.0028492000000000005,28.231600004416,22.664, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array16k,0,3,False,True,False,631039,0,20908,10349747559,0.1298,25.67,1.76452,0.011892851999999999,56.987600008888,19.764,FAST,1.507959485076037,CYCLONE,1.4005261384068943,CYCLONE,6.883454489915393,CYCLONE,1.4542878190109438
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array16k,0,3,False,True,False,495379,0,730237,8124893194,0.1627,57.66,12.145999999999999,0.0251544,37.791200005652,27.68, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array16k,0,10,False,True,False,665818,0,803484,10920483001,0.2011,51.57,22.1116,0.0382472,60.691200009671995,25.612,FAST,1.1688917767214952,CYCLONE,1.7930656804206746,CYCLONE,1.0755620997321722,CYCLONE,1.6164342355100516
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array16k,0,10,False,True,False,760878,0,1090869,12480715436,0.4072,145.9,23.7824,0.0999372,51.922000008424,45.924, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array2m,0,1,False,True,False,1811,0,482,3849244790,14.06,991.9,301.70799999999997,0.9559855560000001,24.140400003650804,239.192,FAST,1.0797401742724144,FAST,1.9498499906266307,FAST,4.156604870461129,CYCLONE,1.4732950350802378
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array2m,0,1,False,True,False,3571,0,0,7537428548,10.92,422.5,72.5852,2.075066,22.357600003332,122.672, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array2m,0,3,False,True,False,720,0,7095,1659055440,915.3,1023.0,962.1833333333334,0.14195295833333332,25.782500004229163,190.368,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array2m,0,3,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Array2m,0,10,False,True,False,2224,0,21090,5180983648,970.2,1238.0,1074.404,0.8335448,32.82360000568,238.692,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,RPi4B,MultiProcess,Array2m,0,10,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,PointCloud1m,0,1,False,True,False,2559,0,2297,2713999924,7.515,520.2,468.44800000000004,0.8618399999999998,23.942400003687197,129.576,CYCLONE,1.0472466817353945,FAST,3.512686957474329,FAST,29.534952238540797,FAST,5.817900673459275
rmw_fastrtps_cpp,RPi4B,MultiProcess,PointCloud1m,0,1,False,True,False,7573,0,0,7980331765,5.545,44.65,15.8608,0.0254608,25.073600003889595,36.888, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,PointCloud1m,0,3,False,True,False,5760,0,8067,6128943220,461.2,604.6,528.0,0.377168,32.19960000492,131.724,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,RPi4B,MultiProcess,PointCloud1m,0,3,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,PointCloud1m,0,10,False,True,False,12544,0,23920,13436423707,504.3,893.3,680.3839999999999,4.8849599999999995,47.942400007196,158.24,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,RPi4B,MultiProcess,PointCloud1m,0,10,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,PointCloud4m,0,1,False,True,False,348,0,953,1564153355,1798.0,1899.0,1860.52,0.12612,23.0812000032588,301.672,CYCLONE,1.0272775666987133,CYCLONE,1.4744358061920368,FAST,2.5626856015081376,CYCLONE,8.803663337296602
rmw_fastrtps_cpp,RPi4B,MultiProcess,PointCloud4m,0,1,False,True,False,1562,0,653,6654936270,37.94,1234.0,726.0040000000001,9.774997599999999,23.7108000031116,444.796, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,PointCloud4m,0,3,False,True,False,315,0,3738,1623208434,1797.0,1923.0,1853.625,0.083924125,25.461250004212502,184.236,CYCLONE,1.2845289605095682,CYCLONE,6.963459872318875,CYCLONE,1.8693101345367535,CYCLONE,39.810761180381995
rmw_fastrtps_cpp,RPi4B,MultiProcess,PointCloud4m,0,3,False,True,False,795,0,157,3508637125,1892.0,5342.0,3465.0,133.01357142857142,32.705714285714286,1282.92, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,PointCloud4m,0,10,False,True,False,190,0,6510,1216191189,1885.0,2045.0,1960.4,0.39872,27.65100001314,208.62,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,RPi4B,MultiProcess,PointCloud4m,0,10,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Struct16,0,1,False,True,False,535587,0,0,17139302,0.06054,4.177,0.0875224,8.972651999999998e-06,41.205600006332,13.568,FAST,1.884942549755783,CYCLONE,1.4852593244944485,CYCLONE,33.30263678056382,CYCLONE,7.900206449696729
rmw_fastrtps_cpp,RPi4B,MultiProcess,Struct16,0,1,False,True,False,456465,0,1210111,14607306,0.08374,19.26,2.91476,0.00062182,21.860400003558798,20.152, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Struct16,0,3,False,True,False,1611710,0,44399,51575718,0.06083,16.45,1.34712,0.0019510799999999998,62.888000009768,13.568,FAST,1.1857337644927466,CYCLONE,1.672759310675169,CYCLONE,178.5051231478093,CYCLONE,11.382030076777456
rmw_fastrtps_cpp,RPi4B,MultiProcess,Struct16,0,3,False,True,False,1267275,0,2149962,40554410,184.9,293.8,240.468,0.2529036,53.037200008332,22.696, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Struct16,0,10,False,True,False,1620871,0,2626047,51870853,0.06624,168.2,46.83519999999999,1.16152,73.053200011272,17.404,FAST,1.0723059061116416,CYCLONE,1.7547689177908,CYCLONE,14.196074444091742,FAST,1.1306281146387835
rmw_fastrtps_cpp,RPi4B,MultiProcess,Struct16,0,10,False,True,False,1533561,0,1853146,49076866,535.0,785.0,664.8759999999999,0.9086280000000001,68.1272000113,30.54, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Struct32k,0,1,False,True,False,39070,0,44257,2646919449,58.19,101.4,81.3544,0.0335292,38.469200005788004,49.676,FAST,1.816435527866971,FAST,2.0157441155760383,FAST,63.51044255055386,FAST,4.963260004903659
rmw_fastrtps_cpp,RPi4B,MultiProcess,Struct32k,0,1,False,True,False,41563,0,0,2815781033,0.8667,28.47,1.2809599999999997,0.001360064,21.178400003289198,24.644, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Struct32k,0,3,False,True,False,74287,0,169026,5034584047,28.02,109.7,49.4648,0.13616,55.559600008684,93.984,FAST,1.4896452953702206,FAST,2.120768974619348,FAST,1.0235141030219477,CYCLONE,1.709885026892113
rmw_fastrtps_cpp,RPi4B,MultiProcess,Struct32k,0,3,False,True,False,84912,0,261,5754107299,1.119,114.8,48.3284,0.398096,37.297200005743996,44.316, , , , , , , , 
rmw_cyclonedds_cpp,RPi4B,MultiProcess,Struct32k,0,10,False,True,False,94051,0,519990,6384140771,27.63,275.7,107.7032,2.03032,66.22640001063199,247.436,FAST,1.3541237005084608,FAST,2.4912004904031204,CYCLONE,1.4307838445767271,FAST,1.4311763955991168
rmw_fastrtps_cpp,RPi4B,MultiProcess,Struct32k,0,10,False,True,False,119014,0,28921,8073784991,24.19,262.6,154.1,0.9912360000000001,48.907200008124,99.324, , , , , , , , 
