rmw,host,mode,topic,rate,#subscribers,zero_copy,reliable,transient,#msg received,#msg sent,#msg lost,data received,latency_min (ms),latency_max (ms),latency_mean (ms),latency_variance (ms),cpu usage (%),max ram usage (MB),CPU WIN,CPU COMPARE,RAM WIN,RAM COMPARE,LATENCY_MEAN WIN,LATENCY_MEAN COMPARE,JITTER_MEAN WIN,JITTER_MEAN COMPARE
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,20,1,False,True,False,475,0,0,8198958,0.06245,0.1407,0.10454960000000002,1.4618188e-07,0.0195052,20.36,CYCLONE,1.0081286975423198,CYCLONE,1.209626659645056,CYCLONE,1.3252415576763785,CYCLONE,1.0747865181669929
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,20,1,False,True,False,476,0,0,8215539,0.08686,0.2426,0.1385548,3.26505e-07,0.01966476,24.628, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,20,3,False,True,False,1425,0,0,24596685,0.06988,0.2721,0.11013800000000001,6.699832e-07,0.03284000000000001,21.364,CYCLONE,1.1060990834627442,CYCLONE,1.4081631993932222,CYCLONE,1.2072381263675895,FAST,1.0547554521031783
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,20,3,False,True,False,1425,0,0,24596625,0.08718,0.2679,0.13296399999999997,4.9864688e-07,0.036325399999999994,30.084, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,20,10,False,True,False,4750,0,0,81989860,0.07118,0.3111,0.153552,4.07692e-06,0.1594852,22.756,FAST,1.0659937427378705,CYCLONE,2.059764367210214,CYCLONE,1.0972367846932327,FAST,1.0489232376726185
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,20,10,False,True,False,4750,0,0,81989920,0.09072,0.3198,0.16848399999999997,3.6100799999999994e-06,0.14961075999999998,46.872, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,100,1,False,True,False,2475,0,0,40995720,0.03818,0.1791,0.1011276,1.1393896e-07,0.06283560000000002,20.792,CYCLONE,1.4799413080911439,CYCLONE,1.1869949409871612,CYCLONE,1.3039239146987103,CYCLONE,1.023888993343022
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,100,1,False,True,False,2475,0,0,40995852,0.07714,0.2179,0.13186399999999998,1.7001040000000002e-07,0.09299448,24.68, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,100,3,False,True,False,7425,0,0,122985256,0.05777,0.3068,0.12536840000000002,1.7303095999999996e-06,0.19615079999999996,22.12,CYCLONE,1.1197982378953446,CYCLONE,1.3546111503340346,CYCLONE,1.0913348871415194,FAST,1.1035417242072565
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,100,3,False,True,False,7425,0,0,122983930,0.08722,0.2524,0.13682000000000002,1.2390000000000001e-06,0.21965044,29.964, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,100,10,False,True,False,24750,0,0,409957377,0.05261,0.3054,0.154796,4.0994399999999995e-06,0.7960868000000001,23.224,FAST,1.0480408512323405,CYCLONE,2.016534532529515,CYCLONE,1.1944934333352715,FAST,1.0023472392903
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,100,10,False,True,False,24750,0,0,409957341,0.05426,0.3849,0.184904,4.07108e-06,0.7595942000000001,46.832, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,500,1,False,True,False,12476,0,0,204993107,0.01991,0.06689,0.0289004,1.644112e-08,0.11615039999999999,21.108,CYCLONE,1.1448010097166286,CYCLONE,1.1762364422855578,CYCLONE,1.2242590324344151,CYCLONE,1.010560698853537
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,500,1,False,True,False,12477,0,0,204995701,0.02514,0.243,0.035382800000000006,4.0083347999999994e-08,0.13297024,24.828, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,500,3,False,True,False,37431,0,0,615023445,0.02119,0.9161,0.032119600000000005,2.794926e-07,0.2861464,21.368,CYCLONE,1.0238569352718214,CYCLONE,1.3981654156605479,CYCLONE,1.2779960523776017,FAST,1.0957529635267078
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,500,3,False,True,False,37428,0,0,614982920,0.02722,0.2501,0.04105,6.35812e-08,0.292974,29.876, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,500,10,False,True,False,124760,0,0,2049976887,0.02663,0.1021,0.0500732,1.1716919999999999e-07,1.3228275999999999,23.128,FAST,1.4651405717003658,CYCLONE,2.0240400370096836,CYCLONE,1.1545985757136408,FAST,1.0078395306659387
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,500,10,False,True,False,124760,0,0,2049992520,0.03086,0.1281,0.057815599999999995,9.776039999999999e-08,0.9028663599999999,46.812, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array2m,20,1,False,True,False,476,0,0,1050561253,1.191,2.079,1.27504,7.965168e-06,0.1461524,29.352,FAST,1.5718847723595455,CYCLONE,1.075361097187207,FAST,1.4446391971003882,FAST,1.6067545628855242
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array2m,20,1,False,True,False,476,0,0,1050553159,0.7939,0.9852,0.8826,2.46891068e-06,0.09297808,31.564, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array2m,20,3,False,True,False,1425,0,0,3145417985,1.282,1.822,1.5626799999999996,5.704832000000001e-06,0.3661248,39.624,CYCLONE,1.2188191053457584,CYCLONE,1.8349484697418617,CYCLONE,7.384488580842797,CYCLONE,5.530742707323152
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array2m,20,3,False,True,False,1428,0,0,3151513848,11.14,21.81,11.5396,0.00020425332000000002,0.44624112000000005,72.708, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array2m,20,10,False,True,False,4750,0,0,10484573025,1.895,3.392,2.62632,3.3496e-05,2.4559084,76.512,CYCLONE,1.4044285672753236,CYCLONE,3.149832664812936,CYCLONE,16.73824334496811,CYCLONE,31.696100601443465
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array2m,20,10,False,True,False,4760,0,0,10505130672,22.82,63.28,43.96,0.03466696,3.44914932,241.0, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array2m,100,1,False,True,False,2476,0,0,5244393937,1.057,1.791,1.25708,6.136879999999999e-06,0.7127559999999998,30.56,FAST,1.5738879578744343,CYCLONE,1.1617800666956783,FAST,1.3451424401278498,FAST,1.216355345514961
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array2m,100,1,False,True,False,2476,0,0,5243550501,0.7401,1.231,0.9345320000000001,3.819388e-06,0.45286224,35.504, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array2m,100,3,False,True,False,7425,0,0,15726994875,1.304,1.87,1.6443200000000002,5.460791999999999e-06,1.8123491999999997,39.536,CYCLONE,1.0370118093070535,CYCLONE,1.9865438591019868,FAST,1.2633445531942031,CYCLONE,1.1619233933050452
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array2m,100,3,False,True,False,7428,0,0,15733132376,0.8145,1.678,1.30156,7.729359999999998e-06,1.87942856,78.54, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array2m,100,10,False,True,False,24750,0,0,52424791007,1.826,21.51,2.33844,0.00018590675999999998,11.455509600000001,81.112,CYCLONE,1.27809827699867,CYCLONE,9.29593636828168,CYCLONE,28.509592502013096,CYCLONE,18.04089939199818
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array2m,100,10,False,True,False,24770,0,0,52463152468,14.61,123.2,66.668,0.060841200000000005,14.64126836,754.012, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array2m,500,1,False,True,False,10811,0,1644,22722084274,149.7,203.7,186.08800000000002,0.0721672,4.2155516,270.112,FAST,2.4053249882653764,FAST,5.882229837059455,FAST,220.0441062570579,FAST,11.111701572436633
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array2m,500,1,False,True,False,12477,0,0,26214522607,0.6325,13.2,0.845684,0.000583451944,1.75259028,45.92, , , , , , , , 
