rmw,host,mode,topic,rate,#subscribers,zero_copy,reliable,transient,#msg received,#msg sent,#msg lost,data received,latency_min (ms),latency_max (ms),latency_mean (ms),latency_variance (ms),cpu usage (%),max ram usage (MB),CPU WIN,CPU COMPARE,RAM WIN,RAM COMPARE,LATENCY_MEAN WIN,LATENCY_MEAN COMPARE,JITTER_MEAN WIN,JITTER_MEAN COMPARE
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,0,1,False,True,False,3538460,0,42400,58030937613,0.009247,1.701,0.042578,1.486375288e-05,13.2931112,25.256,FAST,4.86529821060272,CYCLONE,1.0354766774043127,CYCLONE,21.04220390333263,CYCLONE,17.79895988186461
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,0,1,False,True,False,742834,0,7288091,12182664815,0.01988,51.8,0.8959560000000001,0.005027208000000001,2.73222848,26.152, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,0,3,False,True,False,7846738,0,2090999,128687058635,0.008987,1.898,0.5892959999999999,8.550839999999998e-05,22.2171108,25.908,FAST,5.852967323455,CYCLONE,1.2016365137549592,CYCLONE,7.651082561085497,CYCLONE,24.21167986119259
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,0,3,False,True,False,877293,0,20970009,14388229412,0.02087,153.0,4.50876,0.050721600000000006,3.79587032,31.132, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array16k,0,10,False,True,False,11031478,0,4671010,180918278115,0.03288,9.965,1.9241599999999999,0.00021035599999999998,58.59831119999999,41.372,FAST,13.289553108707464,CYCLONE,1.1867929714107859,CYCLONE,7.346474645312946,CYCLONE,49.23507483184306
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array16k,0,10,False,True,False,853088,0,44381268,13993551935,0.05876,216.7,14.135800000000001,0.5124160000000001,4.40935052,49.1, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array2m,0,1,False,True,False,15018,0,17369,31541742315,34.72,99.0,68.4292,0.0719548,7.3139912,269.6,FAST,1.2071458977168634,FAST,2.6158503200356065,FAST,51.270078767885366,FAST,18.790709552833118
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array2m,0,1,False,True,False,38044,0,0,79826980411,1.068,15.9,1.3346799999999999,0.00020275984400000002,6.058911360000001,103.064, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array2m,0,3,False,True,False,24528,0,66936,51589520161,63.31,98.1,77.1292,0.0244852,10.4251104,237.268,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array2m,0,3,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Array2m,0,10,False,True,False,35079,0,209250,74077179088,73.39,167.3,103.57600000000002,0.23855,23.385908399999998,255.46,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Array2m,0,10,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,PointCloud1m,0,1,False,True,False,38532,0,23199,40518666961,23.83,56.24,39.0312,0.00494104,7.7049888,162.56,FAST,1.187408406449493,FAST,1.239402247336061,FAST,44.43154303511725,FAST,1.4448381223895355
rmw_fastrtps_cpp,Ubuntu,MultiProcess,PointCloud1m,0,1,False,True,False,87289,0,0,91758307180,0.4181,25.92,0.878456,0.002366282132,6.488911119999999,131.16, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,PointCloud1m,0,3,False,True,False,98784,0,67836,103888465988,32.4,67.92,44.2244,0.00602008,14.3831116,145.864,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Ubuntu,MultiProcess,PointCloud1m,0,3,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,PointCloud1m,0,10,False,True,False,170150,0,184600,179057165946,39.2,113.0,69.162,0.1103092,43.8927092,178.72,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Ubuntu,MultiProcess,PointCloud1m,0,10,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,PointCloud4m,0,1,False,True,False,9430,0,6394,39674967069,82.39,192.8,153.84799999999998,0.04468664000000001,7.901830399999999,488.76,FAST,1.2121692897415421,FAST,3.579190928416247,FAST,11.685142495652286,FAST,1.8115615598224513
rmw_fastrtps_cpp,Ubuntu,MultiProcess,PointCloud4m,0,1,False,True,False,19631,0,0,82479518096,2.034,27.76,13.166120000000001,0.013615760000000001,6.51875052,136.556, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,PointCloud4m,0,3,False,True,False,16974,0,25989,71539135676,145.3,219.7,171.52,0.0908152,12.390709199999998,455.728,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Ubuntu,MultiProcess,PointCloud4m,0,3,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,PointCloud4m,0,10,False,True,False,7300,0,116390,31428870269,152.9,308.1,202.8736842105263,0.4534587368421053,16.238197894736846,342.044,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Ubuntu,MultiProcess,PointCloud4m,0,10,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Struct16,0,1,False,True,False,8792601,0,5828,281363665,0.00492,1.568,0.009343319999999999,8.2179548e-07,14.2659088,19.36,FAST,1.3865378286365446,CYCLONE,1.1894627484781637,CYCLONE,22.89433581041746,CYCLONE,5.663890404604996
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Struct16,0,1,False,True,False,5177179,0,903843,165670169,0.01017,6.398,0.213932,5.7529200000000005e-05,10.288869960000001,23.028, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Struct16,0,3,False,True,False,21732550,0,6876402,695442656,0.006472,2.239,0.272028,8.637154799999998e-06,30.745108799999997,21.892,FAST,3.1339971418536496,CYCLONE,1.1942261468012905,CYCLONE,6.200897698407156,CYCLONE,35.14184792776411
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Struct16,0,3,False,True,False,3359436,0,19856286,107503044,0.01324,32.37,1.686824,0.011908068,9.81018944,26.144, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Struct16,0,10,False,True,False,14750160,0,36813439,472009922,0.4508,5.265,0.510608,2.8411958800000003e-05,79.1135092,22.448,FAST,14.691593254546554,CYCLONE,1.493406918504681,CYCLONE,9.039323631193339,CYCLONE,12.334524068579753
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Struct16,0,10,False,True,False,1192613,0,57221315,38168083,0.5464,20.93,4.615559999999999,0.0044754,5.38494996,33.524, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Struct32k,0,1,False,True,False,215019,0,974731,14563271267,2.302,20.96,12.876800000000001,0.00492144,9.948312,58.124,FAST,1.2882359768347937,FAST,1.8291791972186808,FAST,5.225513824472439,CYCLONE,1.4162891078866766
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Struct32k,0,1,False,True,False,263172,0,695,17824481417,0.1766,13.65,2.464216,0.009873080000000001,7.72242888,31.776, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Struct32k,0,3,False,True,False,509915,0,3086399,34537412215,2.014,29.39,6.352159999999999,0.006592200000000001,21.512310799999995,104.008,FAST,1.4800073652556418,FAST,2.200575444300621,CYCLONE,1.7818188172497524,FAST,2.2728199268085842
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Struct32k,0,3,False,True,False,462581,0,174727,31331754376,7.249,18.02,11.318400000000002,0.001275268,14.5352718,47.264, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,MultiProcess,Struct32k,0,10,False,True,False,936770,0,6636150,63456398526,2.481,24.52,8.90888,0.00868712,58.29991079999999,251.6,FAST,1.4421079059232944,FAST,2.4583756501761154,CYCLONE,1.8882730614540708,FAST,1.5684114560871485
rmw_fastrtps_cpp,Ubuntu,MultiProcess,Struct32k,0,10,False,True,False,917673,0,514827,62162028789,8.346,28.93,16.822400000000002,0.0035307599999999995,40.426870359999995,102.344, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,SingleProcess,Array16k,0,1,False,True,False,6455758,11497166,5041394,105874665449,0.1203,0.368,0.22008,3.36664e-07,14.7879092,21.052,CYCLONE,1.2051784220328847,CYCLONE,1.3427702193249944,CYCLONE,1.8050445063408473,CYCLONE,1.1340797285258946
rmw_fastrtps_cpp,Ubuntu,SingleProcess,Array16k,0,1,False,True,False,5428359,6411189,982022,89025337390,0.05668,1.146,0.397256,7.22108e-07,17.82207028,28.268, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,SingleProcess,Array16k,0,3,False,True,False,16887400,7746987,6353532,276953883311,0.07948,0.5304,0.323484,2.97272e-07,30.722310399999998,21.804,FAST,1.1463860371057075,CYCLONE,1.5351310981869797,FAST,2.7156829000058766,CYCLONE,4.523935498336663
rmw_fastrtps_cpp,Ubuntu,SingleProcess,Array16k,0,3,False,True,False,13194474,5629261,3693484,216389948770,0.008075,3.642,0.11911599999999999,2.55966e-05,26.799270279999995,33.472, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,SingleProcess,Array16k,0,10,False,True,False,14351797,3119793,16846061,235371160479,0.4576,1.424,0.8093600000000001,2.5816e-06,79.5123116,23.124,FAST,4.7531132698176926,CYCLONE,2.260508464776489,CYCLONE,1.1215119087774181,CYCLONE,34.00935760804518
rmw_fastrtps_cpp,Ubuntu,SingleProcess,Array16k,0,10,False,True,False,3884924,3195534,27982793,63715029576,0.01052,33.35,0.907708,0.004145988,16.728468760000002,52.272, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,SingleProcess,Array2m,0,1,False,True,False,76660,76660,0,160799463144,0.5542,0.694,0.636656,4.3483600000000006e-08,15.728310399999998,34.376,CYCLONE,1.0071565037808192,CYCLONE,1.3951593729590597,CYCLONE,1.0183316919471552,CYCLONE,1.095194175596375
rmw_fastrtps_cpp,Ubuntu,SingleProcess,Array2m,0,1,False,True,False,76707,76707,0,160901521327,0.589,1.088,0.648328,2.540584e-07,15.84087112,47.96, , , , , , , , 
rmw_cyclonedds_cpp,Ubuntu,SingleProcess,Array2m,0,3,False,True,False,125247,41750,0,262764278679,1.019,1.281,1.15808,1.680976e-07,30.746308399999997,46.388,CYCLONE,1.0065230567152232,CYCLONE,1.7427782671643903,CYCLONE,1.0168546068884647,CYCLONE,1.2845087281657988
rmw_fastrtps_cpp,Ubuntu,SingleProcess,Array2m,0,3,False,True,False,124734,41579,0,261694651248,0.8684,2.149,1.1776,9.308856e-07,30.94686932,80.844, , , , , , , , 
