rmw,host,mode,topic,rate,#subscribers,zero_copy,reliable,transient,#msg received,#msg sent,#msg lost,data received,latency_min (ms),latency_max (ms),latency_mean (ms),latency_variance (ms),cpu usage (%),max ram usage (MB),CPU WIN,CPU COMPARE,RAM WIN,RAM COMPARE,LATENCY_MEAN WIN,LATENCY_MEAN COMPARE,JITTER_MEAN WIN,JITTER_MEAN COMPARE
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,20,1,False,True,False,478,0,0,8202704,0.0656,0.28,0.08669,9.341908e-07,0.0,13.148,CYCLONE,2692560.0000000005,CYCLONE,1.539701738690163,CYCLONE,120.42172774567142,CYCLONE,164.00277968080613
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,20,1,False,True,False,478,0,0,8197929,0.0532,16.98,10.439480000000001,0.0520976,2.6925600000000003,20.244, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,20,3,False,True,False,1431,0,0,24598560,0.0631,0.3074,0.1080488,1.9721719999999996e-06,0.0,13.648,CYCLONE,2719159.9999999995,CYCLONE,1.9123679724232145,CYCLONE,92.20785230514079,CYCLONE,134.85043988118835
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,20,3,False,True,False,1434,0,0,24567990,0.0585,17.82,9.963040000000001,0.0541096,2.7191599999999996,26.1, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,20,10,False,True,False,4780,0,0,82043350,0.0547,0.4067,0.138216,3.6510800000000004e-06,0.0,15.5,CYCLONE,2760560.0,CYCLONE,3.0570320608366415,CYCLONE,71.98709275993548,CYCLONE,108.31506568904933
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,20,10,False,True,False,4780,0,0,82044392,0.0526,17.77,9.949840000000002,0.0546168,2.76056,47.384, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,100,1,False,True,False,2484,0,0,41004459,0.0286,0.3529,0.0807676,1.3617719999999999e-06,0.0,13.128,CYCLONE,5366960.000000001,CYCLONE,1.5408286455797804,CYCLONE,65.84390468573184,CYCLONE,150.55931946920785
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,100,1,False,True,False,2485,0,0,40986220,0.0223,18.31,5.31812,0.053605599999999996,5.366960000000001,20.228, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,100,3,False,True,False,7449,0,0,122985333,0.0231,0.3081,0.1061156,2.5886799999999998e-06,0.0,13.708,CYCLONE,5531400.0,CYCLONE,1.9188793464488367,CYCLONE,46.75008434118695,CYCLONE,119.7178698953461
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,100,3,False,True,False,7443,0,0,122924143,0.0249,25.68,4.960959999999999,0.0514876,5.5314,26.304, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,100,10,False,True,False,24840,0,0,409932199,0.042,0.9651,0.134808,4.42012e-06,0.0,15.616,CYCLONE,5980400.0,CYCLONE,3.0512293128055004,CYCLONE,25.39177651343753,CYCLONE,86.33816334260891
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,100,10,False,True,False,24820,0,0,409999032,0.0356,30.63,3.4230400000000003,0.040436799999999995,5.9803999999999995,47.648, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,500,1,False,True,False,12487,0,0,205010981,0.0187,0.3336,0.055628800000000006,1.7808039999999999e-06,0.0,13.22,CYCLONE,5921920.0,CYCLONE,1.5509832412266837,CYCLONE,73.60515407209805,CYCLONE,127.94617915993845
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,500,1,False,True,False,12479,0,0,204872846,0.0199,18.29,4.09464,0.045576000000000005,5.92192,20.504, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,500,3,False,True,False,37443,0,0,614606767,0.0191,0.5295,0.11838800000000001,6.1494800000000005e-06,0.0,13.868,CYCLONE,6539440.0,CYCLONE,1.8984711639406429,CYCLONE,25.07057243493905,CYCLONE,70.79449152832375
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,500,3,False,True,False,37484,0,0,615269490,0.0254,24.74,2.968079999999999,0.035858,6.53944,26.328, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,500,10,False,True,False,124860,0,0,2049932593,0.0329,0.5682,0.1424,7.441239999999999e-06,0.0,15.816,CYCLONE,7792960.000000001,CYCLONE,3.0247848365715204,CYCLONE,5.411254134451302,CYCLONE,31.866128607983335
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,500,10,False,True,False,123780,0,0,2032057930,0.0394,17.1,0.7705679999999999,0.00857656,7.792960000000001,47.84, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array2m,20,1,False,True,False,477,0,0,1047785072,2.118,3.166,2.2287200000000005,7.903572e-06,0.0,19.476,CYCLONE,2936680.0,CYCLONE,2.5838979983621893,CYCLONE,71.93973583952409,CYCLONE,1071.6030738756854
rmw_fastrtps_cpp,Windows,MultiProcess,Array2m,20,1,False,True,False,472,0,0,1036705602,0.9279,719.5,160.33360000000002,10.231119999999999,2.93668,50.324, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array2m,20,3,False,True,False,1431,0,0,3141128739,2.127,4.511,2.48344,5.36484e-05,0.0,28.46,CYCLONE,3099000.0,CYCLONE,8.145045391952024,CYCLONE,74.15630167980636,CYCLONE,396.75825710615203
rmw_fastrtps_cpp,Windows,MultiProcess,Array2m,20,3,False,True,False,1443,0,0,3162726419,1.008,909.5,184.16279999999998,8.60492,3.0989999999999998,231.808, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array2m,20,10,False,True,False,4780,0,0,10499851845,2.465,6.05,3.2781599999999997,0.000210352,0.0051719999999999995,58.492,CYCLONE,860.1739802822348,CYCLONE,10.763386261995038,CYCLONE,120.34027614873094,CYCLONE,212.91412349299324
rmw_fastrtps_cpp,Windows,MultiProcess,Array2m,20,10,False,True,False,4760,0,0,10451113735,19.26,877.6,394.49479999999994,9.5824156,4.44968,629.572, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array2m,100,1,False,True,False,2482,0,0,5242490967,2.098,4.337,2.3047199999999997,5.487959999999999e-05,0.020776,20.532,CYCLONE,382.9908071425134,CYCLONE,2.3448274720033373,CYCLONE,3.7584766225499746,CYCLONE,66.83316163445008
rmw_fastrtps_cpp,Windows,MultiProcess,Array2m,100,1,False,True,False,2484,0,0,5243390986,0.7838,110.3,8.662239999999999,0.24966159999999996,7.957400000000002,48.144, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array2m,100,3,False,True,False,7404,0,0,15633492670,2.183,5.474,2.68324,0.00010285040000000001,0.0,29.236,CYCLONE,8115839.999999999,CYCLONE,4.563141176524107,CYCLONE,7.9315424891017985,CYCLONE,59.84722677250006
rmw_fastrtps_cpp,Windows,MultiProcess,Array2m,100,3,False,True,False,7454,0,0,15738927519,0.7747,130.4,21.28224,0.372032,8.115839999999999,133.408, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array2m,100,10,False,True,False,24830,0,0,52442333699,2.52,237.6,8.81368,0.2216996,0.634092,112.188,CYCLONE,23.383951565464365,CYCLONE,18.928512684703243,CYCLONE,29.24362703846441,CYCLONE,4.192904791627255
rmw_fastrtps_cpp,Windows,MultiProcess,Array2m,100,10,False,True,False,25036,0,0,52845836204,39.57,643.9,257.744,3.8976120000000005,14.827599999999997,2123.552, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array2m,500,1,False,True,False,4259,0,2026,8939131027,140.3,248.4,193.59230769230768,0.1541138461538462,5.512769230769232,240.696,CYCLONE,1.5482234235634118,FAST,1.766861425207289,FAST,6.20631368411922,CYCLONE,1.1420708552128978
rmw_fastrtps_cpp,Windows,MultiProcess,Array2m,500,1,False,True,False,12491,0,0,26224803931,0.8622,101.8,31.192800000000002,0.20101599999999997,8.535,136.228, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array2m,500,3,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAST BYDEF,0,FAST BYDEF,0,FAST BYDEF,0,FAST BYDEF,0
rmw_fastrtps_cpp,Windows,MultiProcess,Array2m,500,3,False,True,False,37122,0,333,77958306224,45.19,223.7,143.45600000000002,0.6202599999999999,14.433200000000001,651.588, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,PointCloud1m,20,1,False,True,False,478,0,0,525205382,1.464,3.626,1.59404,7.342855999999999e-05,0.005180000000000001,16.34,CYCLONE,546.9446052885543,CYCLONE,2.51603411774577,CYCLONE,123.14639334872818,CYCLONE,492.7975161419753
rmw_fastrtps_cpp,Windows,MultiProcess,PointCloud1m,20,1,False,True,False,478,0,0,526814494,1.979,909.2,196.3004,18.07912,2.83372,41.112, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,PointCloud1m,20,3,False,True,False,1434,0,0,1577836945,1.476,2.037,1.63268,6.9406399999999995e-06,0.005180000000000001,20.924,CYCLONE,542.6597182011194,CYCLONE,3.748805020607674,CYCLONE,136.22501884936497,CYCLONE,1133.7846132497018
rmw_fastrtps_cpp,Windows,MultiProcess,PointCloud1m,20,3,False,True,False,1449,0,0,1595222268,1.318,720.4,222.412,10.214680000000001,2.8115200000000002,78.44, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,PointCloud1m,20,10,False,True,False,4690,0,0,5175303922,1.468,3.25,2.06184,6.978799999999999e-05,0.005195999999999999,36.776,CYCLONE,830.2158127664748,CYCLONE,29.08320564816169,CYCLONE,478.22361308732286,CYCLONE,1618.3471656908637
rmw_fastrtps_cpp,Windows,MultiProcess,PointCloud1m,20,10,False,True,False,5240,0,0,5678618672,47.77,4970.0,986.021052631579,185.44121052631579,4.314631578947369,1069.564, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,PointCloud1m,100,1,False,True,False,2482,0,0,2627036221,1.397,3.826,1.5468799999999998,2.600528e-05,0.0,18.372,CYCLONE,6275720.0,CYCLONE,2.4506856928649197,CYCLONE,30.2321898064557,CYCLONE,242.2457570410127
rmw_fastrtps_cpp,Windows,MultiProcess,PointCloud1m,100,1,False,True,False,2488,0,0,2632315901,0.7901,281.9,46.76559999999999,1.5853599999999997,6.27572,45.024, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,PointCloud1m,100,3,False,True,False,7452,0,0,7881993586,1.409,2.706,1.63752,2.2036e-05,0.010360000000000001,21.048,CYCLONE,656.2571180387994,CYCLONE,5.185290517612575,CYCLONE,35.163396377817435,CYCLONE,299.5386016497417
rmw_fastrtps_cpp,Windows,MultiProcess,PointCloud1m,100,3,False,True,False,7473,0,0,7907785269,0.8206,283.5,57.58079999999999,2.0677280000000002,6.799480000000001,109.14, , , , , , , , 
