rmw,host,mode,topic,rate,#subscribers,zero_copy,reliable,transient,#msg received,#msg sent,#msg lost,data received,latency_min (ms),latency_max (ms),latency_mean (ms),latency_variance (ms),cpu usage (%),max ram usage (MB),CPU WIN,CPU COMPARE,RAM WIN,RAM COMPARE,LATENCY_MEAN WIN,LATENCY_MEAN COMPARE,JITTER_MEAN WIN,JITTER_MEAN COMPARE
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,0,1,False,True,False,1515500,0,0,24854435276,0.0182,1.926,0.0315868,7.172959999999999e-07,10.49264,14.756,CYCLONE,1.3046477049962923,CYCLONE,1.4052587825116034,CYCLONE,8.816821684321162,CYCLONE,3.282413004444102
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,0,1,False,True,False,3683027,0,1720356,60401870451,0.0115,8.411,0.27850400000000003,1.7530799999999998e-05,13.689200000000001,20.736, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,0,3,False,True,False,4764345,0,14166,78135852545,0.0177,14.19,0.0371628,2.0404096000000002e-05,19.120800000000003,17.352,CYCLONE,1.0975063230876152,CYCLONE,1.5322728485319934,CYCLONE,18.538039705304623,CYCLONE,3.486085567433007
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,0,3,False,True,False,7476130,0,4568622,122609162968,0.0205,37.29,0.688944,0.00025923200000000003,20.9852,26.588, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array16k,0,10,False,True,False,5192869,0,3127370,85164536680,0.0257,17.77,3.3720555555555562,0.008780717222222224,39.230999999999995,30.992,FAST,5.510652227992752,CYCLONE,1.5429787834609323,CYCLONE,3.1766371125513935,CYCLONE,5.475053238938607
rmw_fastrtps_cpp,Windows,MultiProcess,Array16k,0,10,False,True,False,1308532,0,38078607,21462156305,0.3992,146.0,10.7118,0.2632472,7.119120000000001,47.82, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array2m,0,1,False,True,False,3499,0,2447,7344557050,129.2,240.0,155.15,0.22324000000000002,6.298699999999999,253.504,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Windows,MultiProcess,Array2m,0,1,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array2m,0,3,False,True,False,23224,0,25032,48809781265,133.7,183.9,156.612,0.0569848,12.956799999999998,256.484,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Windows,MultiProcess,Array2m,0,3,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Array2m,0,10,False,True,False,44876,0,68840,94282258462,138.8,329.3,215.20869565217393,1.0479391304347827,47.83173913043478,300.62,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Windows,MultiProcess,Array2m,0,10,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,PointCloud4m,0,1,False,True,False,1870,0,1798,7873902378,257.0,461.8,301.2083333333333,0.29229333333333335,7.06625,457.9,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Windows,MultiProcess,PointCloud4m,0,1,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,PointCloud4m,0,3,False,True,False,5700,0,7935,24025389244,283.0,423.8,312.5066666666667,0.097532,11.753639999999999,519.196,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Windows,MultiProcess,PointCloud4m,0,3,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,PointCloud4m,0,10,False,True,False,10081,0,17547,42634463548,309.4,519.4,413.1666666666667,0.8226749999999999,40.266083333333334,469.072,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Windows,MultiProcess,PointCloud4m,0,10,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Struct16,0,1,False,True,False,3160847,0,0,101147479,0.0089,0.2611,0.0146948,1.15374e-08,10.810000000000002,12.18,CYCLONE,1.4603922890722358,CYCLONE,1.5793102151633651,CYCLONE,22.081138828781015,CYCLONE,2.2486745070269616
rmw_fastrtps_cpp,Windows,MultiProcess,Struct16,0,1,False,True,False,3256519,0,6400726,104208908,0.0108,1.605,0.3245,4.125052631578948e-06,15.78684210526316,19.236, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Struct16,0,3,False,True,False,10194351,0,0,326220549,0.0085,0.3134,0.016284399999999997,1.9656400000000003e-08,23.5764,13.052,CYCLONE,1.2649089231218962,CYCLONE,1.6607415215490713,CYCLONE,303.6044555245803,CYCLONE,151.00357678730745
rmw_fastrtps_cpp,Windows,MultiProcess,Struct16,0,3,False,True,False,15123422,0,8188422,483950691,0.0126,25.28,4.944319999999999,0.02329536,29.822,21.676, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Struct16,0,10,False,True,False,15374173,0,4440179,491977357,0.0159,2.833,1.1809200000000002,4.244456e-05,82.666,15.372,FAST,2.235545399006291,CYCLONE,2.0676553429836493,CYCLONE,71.84392520752868,CYCLONE,167.4263273439642
rmw_fastrtps_cpp,Windows,MultiProcess,Struct16,0,10,False,True,False,6687443,0,27883214,214002367,0.6578,180.1,84.84199999999998,1.218188,36.977999999999994,31.784, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Struct32k,0,1,False,True,False,83600,0,662914,5662781476,4.22,49.05,8.421680000000002,0.011500719999999997,8.944560000000001,50.484,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Windows,MultiProcess,Struct32k,0,1,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Struct32k,0,3,False,True,False,231205,0,1937686,15661623091,3.891,50.35,8.24328,0.01111528,23.8576,91.392,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Windows,MultiProcess,Struct32k,0,3,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Windows,MultiProcess,Struct32k,0,10,False,True,False,491334,0,4981634,33287704023,5.083,72.32,12.5808,0.01966664,72.0204,267.476,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0,CYCLONE BYDEF,0
rmw_fastrtps_cpp,Windows,MultiProcess,Struct32k,0,10,False,True,False,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , , , , , , 
rmw_cyclonedds_cpp,Windows,SingleProcess,Array16k,0,1,False,True,False,5750519,16006729,10256196,94308719262,0.11,0.6191,0.15739599999999998,8.957079999999999e-08,15.742399999999998,14.02,CYCLONE,1.2822440490494433,CYCLONE,1.6202566604667148,CYCLONE,2.1418451431729957,CYCLONE,2.085621746054735
