,file_name,to_rmw_flavor,to_rmw,from_rmw_flavor,from_rmw,mean system virtual memory (Mb),mean system_cpu_usage (%),sum lost,mean sent,mean received,max ru_maxrss,Top 5% latency (ms),median latency_mean (ms),mean latency_mean (ms),resident anonymous memory (Mb),median resident anonymous memory (Mb),mean resident anonymous memory (Mb),physical memory (Mb),median physical memory (Mb),mean physical memory (Mb),cpu_usage (%),median cpu_usage (%),mean cpu_usage (%),virtual memory (Mb),median virtual memory (Mb),mean virtual memory (Mb)
0,./data/build_farm/raw/overhead_test_results_rmw_fastrtps_cpp_async_rmw_connextdds_ROS2_pub.csv,,connextdds,cpp async,fastrtps,1407.5845161290326,28.782438709677415,0.0,4.48,4.48,93740.0,10.166709999999997,0.4754,0.475,8.934569999999997,8.934569999999997,8.748676774193548,35.7383,35.7383,34.99472580645161,2.52464,2.36271,2.242378096774193,162.938,162.938,157.98416580645159
0,./data/build_farm/raw/overhead_test_results_rmw_fastrtps_cpp_sync_rmw_connextdds_ROS2_pub.csv,,connextdds,cpp sync,fastrtps,1409.2383870967742,29.26010322580645,0.0,4.48,4.52,93536.0,9.416944999999997,0.4422,0.439928,8.93164,8.93164,8.791519032258062,35.7266,35.7266,35.16611612903225,2.46817,2.37668,2.3928367741935483,182.973,182.973,177.3755532258064
0,./data/build_farm/raw/overhead_test_results_rmw_fastrtps_dynamic_cpp_sync_rmw_fastrtps_cpp_ROS2_pub.csv,cpp,fastrtps,dynamic cpp sync,fastrtps,1452.5967741935485,29.14855806451613,0.0,4.48,4.52,93924.0,5.827359999999998,0.2757,0.272032,8.9248,8.9248,8.768518709677421,35.6992,35.6992,35.11994193548387,2.3043050000000003,2.2423,2.147257096774194,199.15,199.15,192.51190774193543
0,./data/build_farm/raw/overhead_test_results_rmw_connextdds_async_rmw_fastrtps_cpp_ROS2_pub.csv,cpp,fastrtps,async,connextdds,1413.2161290322586,28.785090322580643,0.0,4.48,4.52,89984.0,10.152409999999994,0.4739,0.47426,12.6377,12.6377,12.379824193548384,50.5508,50.5508,49.519296774193535,2.3819,2.30009,2.2327674193548392,239.5,239.5,232.14576129032253
0,./data/build_farm/raw/overhead_test_results_rmw_connextdds_async_rmw_connextdds_ROS2_pub.csv,,connextdds,async,connextdds,1423.8364516129031,28.761548387096774,0.0,4.48,4.52,90160.0,8.897889999999997,0.4152,0.4156,13.04,13.04,12.748707096774194,52.1602,52.1602,50.99499677419357,2.385885,2.30415,2.2650790322580643,240.039,240.039,232.5983203225806
0,./data/build_farm/raw/overhead_test_results_rmw_fastrtps_dynamic_cpp_async_rmw_fastrtps_dynamic_cpp_ROS2_pub.csv,dynamic cpp,fastrtps,dynamic cpp async,fastrtps,1456.0580645161294,28.826922580645167,0.0,4.48,4.52,93936.0,7.938674999999996,0.3746,0.370836,9.07812,9.07812,8.935983225806456,36.3125,36.3125,35.74395161290323,2.335055,2.27273,2.2016374193548387,179.143,179.143,173.15823322580647
0,./data/build_farm/raw/overhead_test_results_rmw_cyclonedds_cpp_sync_rmw_connextdds_ROS2_pub.csv,,connextdds,cpp sync,cyclonedds,1404.8267741935479,29.26684193548387,0.0,4.48,4.48,88996.0,10.238364999999996,0.4737,0.478012,6.9541,6.9541,6.860980000000002,27.8164,27.8164,27.44391935483873,2.36468,2.29271,2.1023854193548384,160.67,160.67,155.7893270967742
0,./data/build_farm/raw/overhead_test_results_rmw_connextdds_async_rmw_fastrtps_dynamic_cpp_ROS2_pub.csv,dynamic cpp,fastrtps,async,connextdds,1411.9141935483872,28.67877419354839,0.0,4.48,4.52,90136.0,10.057484999999996,0.4703,0.469872,12.6914,12.6914,12.384098064516126,50.7656,50.7656,49.53639354838708,2.46057,2.34568,2.3770709677419357,239.503,239.503,232.07932709677414
0,./data/build_farm/raw/overhead_test_results_rmw_fastrtps_cpp_sync_rmw_fastrtps_cpp_ROS2_pub.csv,cpp,fastrtps,cpp sync,fastrtps,1399.820645161291,29.790306451612906,0.0,4.52,4.52,93836.0,6.4163349999999975,0.3008,0.29962,8.846680000000003,8.846680000000003,8.704448387096772,35.3867,35.3867,34.81777419354839,2.9872300000000003,2.47989,2.6646612903225804,199.123,199.123,192.4857787096773
0,./data/build_farm/raw/overhead_test_results_rmw_fastrtps_dynamic_cpp_sync_rmw_connextdds_ROS2_pub.csv,,connextdds,dynamic cpp sync,fastrtps,1460.5941935483875,28.688206451612906,0.0,4.48,4.52,93888.0,8.291684999999996,0.384,0.387096,9.0332,9.0332,8.84270741935484,36.1328,36.1328,35.379145161290324,2.26458,2.20499,2.053920870967742,182.985,182.985,177.38448838709672
