,closed_at,created_at,labels,id,number,state,title,url,last_mod,comments,turn_round
0,,2021-10-07 12:09:55,[],1019969237,979,closed,remove grammars from legal notice,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/979,,7,15529.0
1,,2021-10-07 08:50:59,[],1019784283,978,open,Update for 0.8.1,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/978,,0,
2,,2021-10-06 11:39:41,[],1018123795,977,open,IDL parser buffer not extended when parsing multi-line comment,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/977,,0,
3,,2021-10-06 11:26:35,[],1018101471,976,open,Wrong 4 bytes copied for hashid on non-little endian machines,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/976,,0,
4,,2021-10-05 08:44:15,[],1016050606,975,open,Win32 stack trace of current thread,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/975,,1,
5,,2021-10-04 12:08:38,[],1015096898,974,closed,Fix use of non-existent paths when building as a subproject,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/974,,3,71673.0
6,,2021-10-01 14:13:50,[],1013401729,973,open,Add checks on inheritance,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/973,,0,
7,,2021-09-30 19:39:29,[],1012552399,972,closed,Fix incorrect bitshift in filetime_to_time.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/972,,0,2817.0
8,,2021-09-30 18:55:10,[],1012513190,971,closed,Implement log_stacktrace on Win32,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/971,,1,45557.0
9,,2021-09-30 13:03:14,[],1012153121,970,closed,Support anonymous types in union cases,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/970,,0,414314.0
10,,2021-09-29 14:00:56,[],1011000122,969,closed,Fix for issue #968,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/969,,0,260148.0
11,,2021-09-29 13:10:36,[],1010940411,968,closed,GUID byte ordering swapped,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/968,,0,263168.0
