,state,opened_on,time_to_close,closed_at,commits,number,title,url,closed
0,closed,2021-10-07 12:09:55,15529.0,2021-10-07 16:28:44,1,979,remove grammars from legal notice,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/979,
1,open,2021-10-07 08:50:59,,,24,978,Update for 0.8.1,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/978,
2,open,2021-10-05 08:44:15,,,3,975,Win32 stack trace of current thread,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/975,
3,closed,2021-10-04 12:08:38,71673.0,2021-10-05 08:03:11,1,974,Fix use of non-existent paths when building as a subproject,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/974,
4,open,2021-10-01 14:13:50,,,1,973,Add checks on inheritance,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/973,
5,closed,2021-09-30 19:39:29,2817.0,2021-09-30 20:26:26,1,972,Fix incorrect bitshift in filetime_to_time.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/972,
6,closed,2021-09-30 18:55:10,45557.0,2021-10-01 07:34:27,1,971,Implement log_stacktrace on Win32,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/971,
7,closed,2021-09-30 13:03:14,414314.0,2021-10-05 08:08:28,1,970,Support anonymous types in union cases,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/970,
8,closed,2021-09-29 14:00:56,260148.0,2021-10-02 14:16:44,1,969,Fix for issue #968,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/969,
9,open,2021-09-28 14:02:33,,,3,966,Enable shared memory with transient local qos,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/966,
10,open,2021-09-27 09:57:07,,,4,963,Add member ID field population and validation,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/963,
11,closed,2021-09-24 13:16:26,7418.0,2021-09-24 15:20:04,3,962,Fix use-after-free bugs in IDL parser,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/962,
12,closed,2021-09-24 12:11:06,4059.0,2021-09-24 13:18:45,1,961,Replace Codecov by Azure Pipelines Code Coverage,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/961,
13,closed,2021-09-23 14:10:40,688210.0,2021-10-01 13:20:50,5,960,Config error handling,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/960,
14,closed,2021-09-23 09:34:56,15971.0,2021-09-23 14:01:07,1,959,Bump version number for development branch,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/959,
15,closed,2021-09-23 09:31:30,14541.0,2021-09-23 13:33:51,3,958,Backport fix for Bison 3.8.1,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/958,
16,closed,2021-09-21 17:02:59,159005.0,2021-09-23 13:13:04,1,954,Update ROS 2 quality declaration,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/954,
17,open,2021-09-18 11:36:09,,,1,953,Emit shared object files with libcyclone* names,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/953,
18,closed,2021-09-17 12:36:28,500656.0,2021-09-23 07:40:44,2,949,Avoid some undocumented interfaces in bison,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/949,
19,closed,2021-09-17 10:02:26,1122694.0,2021-09-30 09:54:00,2,948,CMake changes for cross-compilation,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/948,
20,open,2021-09-14 14:40:00,,,1,947,Add compiler option to specify prefix directory,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/947,
21,closed,2021-09-13 11:34:48,,,1,945,examples: add support for yocto cross compiling,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/945,
22,open,2021-09-10 22:57:05,,,1,944,"Documentation has two different ""default"" values for ParticipantIndex",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/944,
23,closed,2021-09-09 12:56:42,1880787.0,2021-10-01 07:23:09,2,943,use iceoryx user header,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/943,
24,closed,2021-09-08 15:15:06,4508.0,2021-09-08 16:30:14,1,940,Backport of fix for failing dlopen test to 0.8.x release branch,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/940,
25,closed,2021-09-07 18:30:23,46077.0,2021-09-08 07:18:20,1,938,Use correct offset when serializing type consistency qos,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/938,
26,closed,2021-09-07 11:18:59,1890455.0,2021-09-29 08:26:34,1,936,Add python idl locator to idlc.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/936,
27,closed,2021-09-07 08:00:04,19366.0,2021-09-07 13:22:50,2,934,Remove VS analyzer and add example for using built-in topics,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/934,
28,closed,2021-09-07 07:52:06,6764.0,2021-09-07 09:44:50,1,933,Dereference as void* to avoid crash with -O2,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/933,
29,closed,2021-09-06 14:44:41,168401.0,2021-09-08 13:31:22,1,932,Fix dlopen_path test on normal VS/Xcode,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/932,
30,closed,2021-09-06 10:10:03,1485243.0,2021-09-23 14:44:06,1,931,Cache Eclipse Iceoryx,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/931,
31,closed,2021-09-03 16:30:46,1537313.0,2021-09-21 11:32:39,3,929,Improve diagnostic when idlc loads plugin,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/929,
32,closed,2021-09-03 07:59:11,8434.0,2021-09-03 10:19:45,1,928,ddsrt_malloc size for maxq_list is incorrect in find_own_ip,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/928,
33,closed,2021-09-03 06:17:41,,,0,927,dsrt_malloc size for maxq_list is incorrect in find_own_ip,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/927,
34,closed,2021-09-03 05:22:45,,,1,925,[bug 924] head->aba_head.s.a should be discounted in ddsrt_atomic_lifo_pop,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/925,
35,closed,2021-09-01 15:16:59,679740.0,2021-09-09 12:05:59,4,923,Keep weak references to annotatable metadata in IDL tree,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/923,
36,open,2021-09-01 06:52:03,,,1,922,Add IDL compiler option to specify the output directory for the generated code (fixes #801),https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/922,
