,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
0,open,2021-10-02 03:07:27,,,1,340,Fix QoS depth settings for clients/service ignored,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/340,
1,closed,2021-09-08 18:24:32,,523333.0,2,337,Update rmw_context_impl_t definition,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/337,2021-09-14 19:46:45
2,closed,2021-09-08 15:34:24,,92626.0,1,336,Fix use of deprecated is_loan_available,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/336,2021-09-09 17:18:10
3,closed,2021-09-03 14:37:56,,859996.0,1,335,Add quality declaration for rmw_cyclonedds_cpp,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/335,2021-09-13 13:31:12
4,closed,2021-08-30 16:06:19,,3168.0,1,334,rmw_cyclonedds_cpp/CMakeLists.txt: add -latomic for RISC-V (backport #332),https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/334,2021-08-30 16:59:07
5,closed,2021-08-30 16:06:12,,3159.0,1,333,rmw_cyclonedds_cpp/CMakeLists.txt: add -latomic for RISC-V (backport #332),https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/333,2021-08-30 16:58:51
6,closed,2021-08-26 12:26:30,,358563.0,4,332,rmw_cyclonedds_cpp/CMakeLists.txt: add -latomic for RISC-V,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/332,2021-08-30 16:02:33
7,closed,2021-08-02 23:26:19,,850949.0,2,329,"Add pub/sub init, publish and take instrumentation using tracetools",https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/329,2021-08-12 19:48:48
8,closed,2021-07-29 12:34:33,,,3,327,add -latomic in CMakelist.txt,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/327,
9,closed,2021-07-06 18:43:03,,153171.0,1,325,Pass the CRL down to CycloneDDS if it exists.,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/325,2021-07-08 13:15:54
10,closed,2021-06-28 23:22:35,,,1,324,Add publishing instrumentation using tracetools,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/324,
11,closed,2021-06-24 18:52:19,,325225.0,1,323,Use the new rmw_dds_common::get_security_files API.,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/323,2021-06-28 13:12:44
12,closed,2021-06-22 15:13:40,,88062.0,1,322,Added shared memory support usage description,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/322,2021-06-23 15:41:22
13,closed,2021-06-09 15:48:13,,513777.0,16,321,Update Galactic to support zero-copy,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/321,2021-06-15 14:31:10
14,open,2021-06-09 08:03:56,,,1,320,Fix typesupport bug.,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/320,
15,closed,2021-06-03 15:42:54,,75699.0,1,317,Change index.ros.org -> docs.ros.org links.,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/317,2021-06-04 12:44:33
16,closed,2021-06-02 12:51:37,,,1,315,Compatibility with older versions of Cyclone DDS,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/315,
17,closed,2021-05-06 19:12:00,,6631.0,3,313,Handle allocation errors during message deserialization,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/313,2021-05-06 21:02:31
18,closed,2021-04-30 16:46:35,,337200.0,1,312,Update includes after rcutils/get_env.h deprecation,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/312,2021-05-04 14:26:35
19,closed,2021-04-25 18:47:14,,954426.0,6,310,Remove ubuntu-18.04 job from CI config matrix and ignore rmw_connextdds,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/310,2021-05-06 19:54:20
20,closed,2021-04-25 10:41:38,,1930796.0,16,309,Fix zero copy issues,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/309,2021-05-17 19:01:34
21,closed,2021-04-25 09:17:52,,,2,308,Fix serialized path when SHM is enabled,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/308,
22,closed,2021-04-25 08:26:34,,,2,307,Fix Publishing when SHM is enabled,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/307,
23,closed,2021-04-22 15:41:09,,,1,306,Update usage of dds_data_allocator APIs,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/306,
24,closed,2021-04-20 14:23:49,,80332.0,1,305,Fix the history depth for KEEP_ALL.,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/305,2021-04-21 12:42:41
25,closed,2021-04-17 20:57:34,,5681459.0,5,303,Added shared memory support usage description,https://api.github.com/repos/ros2/rmw_cyclonedds/pulls/303,2021-06-22 15:08:33
