,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
0,open,2021-10-05 14:50:05,,,1,2249,Do not filter Error messages category,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2249,
1,open,2021-10-05 11:35:40,,,2,2248,[foxy] Fix: gap not being sent,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2248,
2,open,2021-10-04 14:44:57,,,10,2247,Allow Discovery Server without Custom Listening Address [12570],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2247,
3,open,2021-10-04 12:25:31,,,8,2246,Discovery Server fix reconnection [12522],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2246,
4,open,2021-10-04 09:46:50,,,2,2245,Adds profile loading from XML string,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2245,
5,open,2021-10-04 08:56:14,,,6,2244,Persistence guid hotfixes [12522],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2244,
6,open,2021-10-01 09:11:46,,,6,2243,Fix buffers exhaution when compiled with statistics [12629],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2243,
7,closed,2021-09-30 20:15:22,,,4,2242,Discovery Server reconnection fixes,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2242,
8,open,2021-09-30 08:20:50,,,2,2240,Improve `DataWriterImpl::unregister_instance` performance and standard compliance [12622],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2240,
9,open,2021-09-29 11:41:03,,,4,2239,Fix incosistences between Pub/Sub history and RTPS history [12620],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2239,
10,open,2021-09-27 14:25:11,,,2,2235,xTypes Example [12531],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2235,
11,open,2021-09-27 06:27:48,,,15,2233,[12412] Add writer wait for acknowledgements for a specific instance,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2233,
12,closed,2021-09-27 06:27:14,,2521.0,1,2232,Avoid bad_node_size exception when cross building [12583] (backport #2229),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2232,2021-09-27 07:09:15
13,closed,2021-09-27 06:27:03,,2233.0,1,2231,Avoid bad_node_size exception when cross building [12583] (backport #2229),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2231,2021-09-27 07:04:16
14,closed,2021-09-27 06:26:49,,2228.0,1,2230,Avoid bad_node_size exception when cross building [12583] (backport #2229),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2230,2021-09-27 07:03:57
15,closed,2021-09-24 11:52:34,,239610.0,2,2229,Avoid bad_node_size exception when cross building [12583],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2229,2021-09-27 06:26:04
16,closed,2021-09-24 09:58:25,,242985.0,1,2228,Fixed LogMacrosTests.default_macros_test [12575] (backport #2217),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2228,2021-09-27 05:28:10
17,closed,2021-09-24 09:36:27,,342055.0,1,2227,Communication improvement sending only one GAP for all readers [12576],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2227,2021-09-28 08:37:22
18,open,2021-09-24 08:21:24,,,1,2226,Fix Dynamic Types key parser from XML [12549],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2226,
19,closed,2021-09-23 11:37:47,,,38,2224,Adds support for loading profiles from an XML string.,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2224,
20,closed,2021-09-23 07:57:28,,1144469.0,8,2223,[12552] delete_contained_entities implementation,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2223,2021-10-06 13:51:57
21,open,2021-09-22 14:25:37,,,7,2222,[11909] pkcs11 support,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2222,
22,closed,2021-09-22 14:22:34,,,6,2221,[11914] Feature/pkcs11 support,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2221,
23,closed,2021-09-22 12:30:37,,418392.0,1,2220,Fix build on old compilers [12546],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2220,2021-09-27 08:43:49
24,closed,2021-09-21 14:30:26,,242856.0,5,2217,Fixed LogMacrosTests.default_macros_test [12575],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2217,2021-09-24 09:58:02
25,open,2021-09-21 10:17:07,,,1,2216,Support of disable_heartbeat_piggyback through XML and DDS API [12533],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2216,
26,closed,2021-09-20 14:21:47,,238.0,1,2214,Fix DDS Late Joiners example,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2214,2021-09-20 14:25:45
27,closed,2021-09-20 07:53:12,,1065.0,4,2212,2.4.0 [12525],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2212,2021-09-20 08:10:57
28,closed,2021-09-17 12:42:00,,120683.0,6,2211,Environment file feature,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2211,2021-09-18 22:13:23
29,closed,2021-09-17 07:41:55,,702.0,2,2209,Hotfix: add DomainParticipantQos::flow_controllers doxygen documentation,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2209,2021-09-17 07:53:37
30,closed,2021-09-17 07:17:56,,152.0,1,2208,Hotfix: fix doxydoc,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2208,2021-09-17 07:20:28
31,open,2021-09-17 06:00:53,,,2,2207,Fix complex types with collections bug in Dynamic Types[12517],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2207,
32,closed,2021-09-16 14:04:09,,145.0,1,2206,Remove not implemented warning on doxygen [12358],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2206,2021-09-16 14:06:34
33,closed,2021-09-15 06:57:59,,193379.0,21,2205,[12199] Reload environment file information,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2205,2021-09-17 12:40:58
34,closed,2021-09-14 13:02:24,,1102850.0,1,2204,Fix compilation errors with OpenSSL 3.0 (backport #2154),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2204,2021-09-27 07:23:14
