,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
0,open,2021-10-07 13:23:53,,,2,565,Add support for PKCS#11 in security files,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/565,
1,closed,2021-10-02 03:13:58,,391467.0,1,564,fix QoS depth settings for clients/service ignored,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/564,2021-10-06 15:58:25
2,open,2021-09-24 16:41:17,,,1,560,Add client/service QoS getters,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/560,
3,closed,2021-09-08 18:24:46,,523299.0,2,558,Update rmw_context_impl_t definition,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/558,2021-09-14 19:46:25
4,closed,2021-09-08 13:12:58,,193983.0,2,557,Clarify rule for selecting a XML profile using topic name,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/557,2021-09-10 19:06:01
5,closed,2021-08-13 18:59:22,,239540.0,1,552,Update the LoanManager to do internal locking.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/552,2021-08-16 13:31:42
6,closed,2021-07-27 05:30:02,,124272.0,2,550,Fix type size alignment,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/550,2021-07-28 16:01:14
7,closed,2021-07-12 20:18:28,,80283.0,1,549,[galactic backport] Support for SubscriptionOptions::ignore_local_publications (#536),https://api.github.com/repos/ros2/rmw_fastrtps/pulls/549,2021-07-13 18:36:31
8,closed,2021-07-12 20:15:46,,80404.0,1,548,"Revert ""Support for SubscriptionOptions::ignore_local_publications (#543)""",https://api.github.com/repos/ros2/rmw_fastrtps/pulls/548,2021-07-13 18:35:50
9,closed,2021-07-09 08:39:40,,2698768.0,5,547,[Galactic] Loan messages implementation,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/547,2021-08-09 14:19:08
10,closed,2021-07-06 18:43:16,,153188.0,1,546,Pass the CRL down to Fast-DDS if available.,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/546,2021-07-08 13:16:24
11,closed,2021-06-24 18:52:15,,340506.0,1,544,Use the new rmw_dds_common::get_security_files,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/544,2021-06-28 17:27:21
12,closed,2021-06-22 10:02:29,,1764150.0,1,543,[Galactic] Support for SubscriptionOptions::ignore_local_publications,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/543,2021-07-12 20:04:59
13,closed,2021-06-07 09:55:45,,5042080.0,1,540,Correctly recalculate serialized size on bounded sequences,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/540,2021-08-04 18:30:25
14,closed,2021-06-03 15:29:35,,1055529.0,1,539,Change links from index.ros.org -> docs.ros.org,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/539,2021-06-15 20:41:44
15,closed,2021-05-31 12:17:29,,,10,537,Support for SubscriptionOptions::ignore_local_publications,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/537,
16,closed,2021-05-31 12:16:01,,1580687.0,2,536,Support for SubscriptionOptions::ignore_local_publications,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/536,2021-06-18 19:20:48
17,closed,2021-05-31 11:23:43,,,2,535,Implement SubscriptionOptions::ignore_local_publications,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/535,
18,closed,2021-05-18 19:33:45,,,1,532,[Dashing] Avoid memory leaks and undefined behavior in rmw_fastrtps_dynamic_cpp typesupport code,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/532,
19,closed,2021-05-07 20:18:29,,247540.0,1,530,Export rmw_dds_common as an rmw_fastrtps_shared_cpp dependency,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/530,2021-05-10 17:04:09
20,closed,2021-04-30 16:51:29,,336863.0,1,529,Update includes after rcutils/get_env.h deprecation,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/529,2021-05-04 14:25:52
21,closed,2021-04-25 06:08:14,,,2,527,update guard condition by managing multiple items,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/527,
22,closed,2021-04-13 05:33:47,,5399521.0,1,524,[Foxy] Remove unnecessary includes,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/524,2021-06-14 17:25:48
23,closed,2021-04-12 15:01:50,,2499257.0,16,523,Loan messages implementation,https://api.github.com/repos/ros2/rmw_fastrtps/pulls/523,2021-05-11 13:16:07
