Timestamp,What version of ROS 2 did you use the most this year.,"Briefly describe your application and how your RMW / DDS implementation fits into the picture. In particular, describe the transport layer and network architecture used (e.g. one robot, multiple robots, one host one robot, communicating over 5G / 4G / local network / wifi / etc).",Did you try more than one DDS / RMW vendor this year?,Is there anything you would like to share with the TSC about how you personally evaluated different DDS / RMW implementations?,"Based on your experience, which DDS / RMW implementation should the ROS 2 TSC select for ROS 2 Humble Hawksbill Default?",On a scale from one to ten how confident are you that Cyclone DDS should be the ROS 2 Humble Hawksbill default?,On a scale from one to ten how likely are you to recommend Cyclone DDS to a friend or colleague?,Is there anything you would like to tell the TSC about Cyclone DDS?,"Before you go, is there anything you would like to tell the ROS 2 TSC about your experience with **Fast DDS**? Did you switch DDS vendors? If so, why?",On a scale from one to ten how confident are you that Fast DDS should be the ROS 2 Humble Hawksbill default?,On a scale from one to ten how likely are you to recommend Fast DDS to a friend or colleague?,Is there anything you would like to tell the TSC about Fast DDS?,"Before you go, is there anything you would like to tell the ROS 2 TSC about your experience with **Cyclone DDS**  Did you switch DDS vendors? If so, why?"
2021/10/05 4:39:51 PM MDT,ROS 2 Rolling Ridley,"one robot over local wired network, with occasional debugging over wifi network / VPN.",Yes,,Cyclone DDS,5,6,,Crashing services; RMW or DDS layer exceptions being thrown; generally unreliable and requiring significant DDS configuration file customization to get reasonable behavior for mobile robot systems. Several tickets filed in Nav2 which were trivially solved for users by switching the Cyclone ,,,,
2021/10/05 6:51:39 PM MDT,ROS 2 Foxy Fitzroy,multiple robots communicating over 5G / 4G / local network / wifi ,Yes,I would say Cyclone is the best compatible DDS with ROS 2,Cyclone DDS,10,10,I think we should give Cyclone DDS a change to see how ROS 2 can be achieved,,,,,
2021/10/05 7:26:06 PM MDT,ROS 2 Foxy Fitzroy,Auto discover other robots in the same WiFi network,Yes,Stability is the key,Cyclone DDS,10,10,,,,,,
2021/10/05 7:33:18 PM MDT,ROS 2 Foxy Fitzroy,"5G, LTE, WiFi, lan, other",Yes,"We test for reliability, as well as performance above all else.",Cyclone DDS,10,10,"I have 100% confidence in cyclone as a middleware. I have encountered a few instances of customers complaining about inconsistent message delivery from their laptops. Every single time this has been the case, those customers have been running fast instead of cyclone (since it is the default), and it is always fixed immediately when changing to cyclone.",,,,,
2021/10/05 7:35:31 PM MDT,ROS 2 Galactic Geochelone,one robot one host one developer viewer with zenoh dds too,Yes,,Cyclone DDS,10,10,,did not work well with bare RTPS with default settinfs,,,,
2021/10/05 10:04:43 PM MDT,ROS 2 Galactic Geochelone,"stereo camera, lidar, can bus, high precision gps capture on one node. would like multiple nodes",Yes,multiple physical compute nodes should work out of the box,Fast DDS,,,,,8,8,,works ok one node
2021/10/05 11:49:25 PM MDT,ROS 2 Foxy Fitzroy,Sending large images on a single machine,Yes,,Cyclone DDS,8,9,,Reliable connection is dropping messages. Same happens in cyclone however with dds tuning it can be improved a lot,,,,
2021/10/06 12:11:08 AM MDT,ROS 2 Foxy Fitzroy,"various configs, mostly one host or two hosts with ros app running in docker containers on hosts",Yes,"We switched to cyclonedds in the beginning of the year, as there was a serious bug in fastdds in official ros release",Cyclone DDS,7,7,"It is a good start, but it is far from completed solution. It lacks tooling, there are bugs, it lacks shared memory transport.","We switched from fastdds to cyclonedds as after an official foxy release in the beginning of the year, there was a serious bug in released fastdds version related to a memory transport in a discovery daemon (if I remember correctly)",,,,
2021/10/06 12:13:21 AM MDT,ROS 2 Galactic Geochelone,One robot,Yes,"FastDDS seems to be ahead of Cyclone, both in terms of their project timeline and minimising latency of package transmission.",Fast DDS,,,,,8,7,,
2021/10/06 12:32:37 AM MDT,ROS 2 Foxy Fitzroy,We implemented an interface between ROS 2 and Webots and benchmarked its performance on various simulations.,Yes,We tested different versions of ROS 2 and also different DDS on the same version.,Fast DDS,,,,,8,9,It turns out to be both more stable and faster in our benchmarks.,"In most cases Cyclone DDS was working well, but we had some strange behaviors, stability issues (apparently loosing some packets) and found out its performance not as good as FastDDS."
